year,oshpd_id,county,hospital,performance_measure,hospital_rating,#_of_cases,#_of_adverse_events,risk_adjusted_rate
2011,106190555,los angeles,cedars sinai medical center,post-operative stroke,average,223.0,2.0,1.18
2012,106190555,los angeles,cedars sinai medical center,30-day readmission,average,92.0,8.0,10.41
2012,106190555,los angeles,cedars sinai medical center,operative mortality,average,111.0,3.0,3.77
2013,106190555,los angeles,cedars sinai medical center,30-day readmission,average,116.0,18.0,16.91
2013,106190555,los angeles,cedars sinai medical center,cabg + valve operative mortality,average,93.0,3.0,4.04
2013,106190555,los angeles,cedars sinai medical center,cabg operative mortality,average,130.0,1.0,1.03
2013,106190555,los angeles,cedars sinai medical center,post-operative stroke,average,259.0,2.0,1.08
2014,106190555,los angeles,cedars sinai medical center,30-day readmission,average,238.0,28.0,13.86
2014,106190555,los angeles,cedars sinai medical center,cabg + valve operative mortality,average,88.0,4.0,6.05
2014,106190555,los angeles,cedars sinai medical center,cabg operative mortality,average,129.0,0.0,0.0
2014,106190555,los angeles,cedars sinai medical center,post-operative stroke,average,290.0,3.0,1.25
2015,106190555,los angeles,cedars sinai medical center,cabg + valve operative mortality,average,81.0,3.0,5.05
2015,106190555,los angeles,cedars sinai medical center,cabg 30-day readmission,average,260.0,24.0,11.13
2015,106190555,los angeles,cedars sinai medical center,cabg operative mortality,average,161.0,4.0,3.42
2015,106190555,los angeles,cedars sinai medical center,post-operative stroke,average,321.0,6.0,2.24
2016,106190555,los angeles,cedars sinai medical center,cabg + valve operative mortality,average,81.0,0.0,0.0
2016,106190555,los angeles,cedars sinai medical center,cabg operative mortality,average,160.0,3.0,3.4
2016,106190555,los angeles,cedars sinai medical center,post-operative stroke,worse,317.0,9.0,3.35
2017,106190555,los angeles,cedars sinai medical center,cabg + valve operative mortality,average,81.0,0.0,0.0
2017,106190555,los angeles,cedars sinai medical center,cabg 30-day readmission,average,248.0,31.0,13.72
2017,106190555,los angeles,cedars sinai medical center,cabg operative mortality,average,157.0,1.0,0.74
2017,106190555,los angeles,cedars sinai medical center,post-operative stroke,average,325.0,8.0,3.09
2018,106190555,los angeles,cedars sinai medical center,cabg operative mortality,average,168.0,2.0,2.17
2018,106190555,los angeles,cedars sinai medical center,cabg+valve operative mortality,average,501.0,2.0,3.26
2018,106190555,los angeles,cedars sinai medical center,isolated cabg 30-day readmission,worse,501.0,42.0,17.28
2018,106190555,los angeles,cedars sinai medical center,isolated cabg post-operative stroke,average,501.0,8.0,2.55
2019,106190555,los angeles,cedars sinai medical center,cabg+valve operative mortality,average,494.0,3.0,5.57
2019,106190555,los angeles,cedars sinai medical center,isolated cabg 30-day readmission,average,494.0,35.0,13.72
2019,106190555,los angeles,cedars sinai medical center,isolated cabg operative mortality,average,266.0,3.0,1.88
2019,106190555,los angeles,cedars sinai medical center,isolated cabg post-operative stroke,average,494.0,8.0,2.35
2020,106190555,los angeles,cedars sinai medical center,isolated cabg operative mortality,average,228.0,5.0,2.52
2021,106190555,los angeles,cedars â sinai medical center,cabg+valve operative mortality,average,565.0,2.0,3.06
2021,106190555,los angeles,cedars â sinai medical center,isolated cabg 30-day readmission,worse,565.0,50.0,17.12
2021,106190555,los angeles,cedars â sinai medical center,isolated cabg post-operative stroke,average,565.0,8.0,2.01
2022,106190555,los angeles,cedars â sinai medical center,isolated cabg operative mortality,average,294.0,6.0,2.88
2011,106190148,los angeles,centinela hospital medical center,post-operative stroke,average,40.0,2.0,3.8
2012,106190148,los angeles,centinela hospital medical center,30-day readmission,average,22.0,4.0,15.82
2012,106190148,los angeles,centinela hospital medical center,operative mortality,average,26.0,1.0,3.35
2013,106190148,los angeles,centinela hospital medical center,30-day readmission,average,19.0,4.0,14.13
2013,106190148,los angeles,centinela hospital medical center,cabg + valve operative mortality,average,7.0,1.0,9.15
2013,106190148,los angeles,centinela hospital medical center,cabg operative mortality,average,25.0,3.0,10.42
2013,106190148,los angeles,centinela hospital medical center,post-operative stroke,average,53.0,0.0,0.0
2014,106190148,los angeles,centinela hospital medical center,30-day readmission,average,43.0,10.0,19.68
2014,106190148,los angeles,centinela hospital medical center,cabg + valve operative mortality,average,6.0,1.0,12.89
2014,106190148,los angeles,centinela hospital medical center,cabg operative mortality,average,28.0,3.0,8.99
2014,106190148,los angeles,centinela hospital medical center,post-operative stroke,average,63.0,0.0,0.0
2015,106190148,los angeles,centinela hospital medical center,cabg + valve operative mortality,average,5.0,0.0,0.0
2015,106190148,los angeles,centinela hospital medical center,cabg 30-day readmission,average,47.0,8.0,16.43
2015,106190148,los angeles,centinela hospital medical center,cabg operative mortality,average,35.0,3.0,6.36
2015,106190148,los angeles,centinela hospital medical center,post-operative stroke,average,70.0,1.0,1.26
2016,106190148,los angeles,centinela hospital medical center,cabg + valve operative mortality,average,3.0,1.0,39.23
2016,106190148,los angeles,centinela hospital medical center,cabg operative mortality,average,35.0,2.0,4.81
2016,106190148,los angeles,centinela hospital medical center,post-operative stroke,average,53.0,2.0,2.99
2017,106190148,los angeles,centinela hospital medical center,cabg + valve operative mortality,average,1.0,1.0,100.0
2017,106190148,los angeles,centinela hospital medical center,cabg 30-day readmission,average,28.0,6.0,16.94
2017,106190148,los angeles,centinela hospital medical center,cabg operative mortality,average,18.0,1.0,3.62
2017,106190148,los angeles,centinela hospital medical center,post-operative stroke,average,34.0,2.0,3.45
2018,106190148,los angeles,centinela hospital medical center,cabg operative mortality,average,16.0,1.0,3.03
2018,106190148,los angeles,centinela hospital medical center,cabg+valve operative mortality,not appplicable,40.0,,
2018,106190148,los angeles,centinela hospital medical center,isolated cabg 30-day readmission,average,40.0,9.0,23.29
2018,106190148,los angeles,centinela hospital medical center,isolated cabg post-operative stroke,average,40.0,2.0,3.84
2019,106190148,los angeles,centinela hospital medical center,cabg+valve operative mortality,average,66.0,1.0,32.17
2019,106190148,los angeles,centinela hospital medical center,isolated cabg 30-day readmission,worse,66.0,15.0,24.44
2019,106190148,los angeles,centinela hospital medical center,isolated cabg operative mortality,average,23.0,2.0,6.92
2019,106190148,los angeles,centinela hospital medical center,isolated cabg post-operative stroke,average,66.0,2.0,2.28
2020,106190148,los angeles,centinela hospital medical center,isolated cabg operative mortality,average,43.0,4.0,8.98
2021,106190148,los angeles,centinela hospital medical center,cabg+valve operative mortality,average,86.0,1.0,45.27
2021,106190148,los angeles,centinela hospital medical center,isolated cabg 30-day readmission,worse,86.0,17.0,19.93
2021,106190148,los angeles,centinela hospital medical center,isolated cabg post-operative stroke,average,86.0,4.0,2.24
2022,106190148,los angeles,centinela hospital medical center,isolated cabg operative mortality,average,40.0,4.0,4.1
2011,106190413,los angeles,citrus valley medical center - ic campus,post-operative stroke,average,215.0,5.0,2.11
2012,106190413,los angeles,citrus valley medical center - ic campus,30-day readmission,average,104.0,10.0,9.13
2012,106190413,los angeles,citrus valley medical center - ic campus,operative mortality,average,113.0,4.0,4.38
2013,106190413,los angeles,citrus valley medical center - ic campus,30-day readmission,average,84.0,11.0,10.95
2013,106190413,los angeles,citrus valley medical center - ic campus,cabg + valve operative mortality,average,33.0,2.0,6.36
2013,106190413,los angeles,citrus valley medical center - ic campus,cabg operative mortality,average,89.0,2.0,1.99
2013,106190413,los angeles,citrus valley medical center - ic campus,post-operative stroke,average,202.0,7.0,2.83
2015,106190413,los angeles,citrus valley medical center - inter community campus,cabg + valve operative mortality,average,31.0,2.0,6.14
2015,106190413,los angeles,citrus valley medical center - inter community campus,cabg 30-day readmission,average,216.0,27.0,12.08
2015,106190413,los angeles,citrus valley medical center - inter community campus,post-operative stroke,average,257.0,6.0,2.12
2016,106190413,los angeles,citrus valley medical center - inter community campus,cabg + valve operative mortality,average,26.0,1.0,3.32
2016,106190413,los angeles,citrus valley medical center - inter community campus,cabg operative mortality,average,136.0,4.0,2.65
2016,106190413,los angeles,citrus valley medical center - inter community campus,post-operative stroke,average,251.0,6.0,2.15
2017,106190413,los angeles,citrus valley medical center - inter community campus,cabg operative mortality,average,115.0,2.0,1.44
2014,106190413,los angeles,citrus valley medical center inner community campus,30-day readmission,average,195.0,25.0,11.47
2014,106190413,los angeles,citrus valley medical center inner community campus,cabg + valve operative mortality,average,24.0,1.0,5.37
2014,106190413,los angeles,citrus valley medical center inner community campus,post-operative stroke,average,231.0,3.0,1.29
2015,106190413,los angeles,citrus valley medical center inner community campus,cabg operative mortality,average,121.0,2.0,1.4
2013,106190413,los angeles,citrus valley medical center  inter community campus,cabg + valve operative mortality,average,25.0,2.0,7.88
2013,106190413,los angeles,citrus valley medical center  inter community campus,post-operative stroke,average,199.0,2.0,0.82
2014,106190413,los angeles,citrus valley medical center  inter community campus,cabg operative mortality,average,110.0,3.0,1.95
2011,106190243,los angeles,downey regional medical center,post-operative stroke,average,73.0,0.0,0.0
2012,106190243,los angeles,downey regional medical center,30-day readmission,average,35.0,7.0,17.59
2012,106190243,los angeles,downey regional medical center,operative mortality,average,39.0,1.0,3.75
2013,106190243,los angeles,downey regional medical center,30-day readmission,average,53.0,7.0,14.42
2013,106190243,los angeles,downey regional medical center,cabg + valve operative mortality,average,3.0,0.0,0.0
2013,106190243,los angeles,downey regional medical center,cabg operative mortality,average,63.0,1.0,1.99
2013,106190243,los angeles,downey regional medical center,post-operative stroke,average,109.0,0.0,0.0
2014,106190243,los angeles,downey regional medical center,30-day readmission,average,70.0,8.0,9.53
2014,106190243,los angeles,downey regional medical center,cabg + valve operative mortality,average,5.0,0.0,0.0
2014,106190243,los angeles,downey regional medical center,cabg operative mortality,average,46.0,0.0,0.0
2014,106190243,los angeles,downey regional medical center,post-operative stroke,average,74.0,1.0,1.37
2015,106190243,los angeles,downey regional medical center,cabg operative mortality,average,28.0,0.0,0.0
2021,106190413,los angeles,emanate health inter â community hospital,cabg+valve operative mortality,average,290.0,4.0,14.59
2021,106190413,los angeles,emanate health inter â community hospital,isolated cabg 30-day readmission,average,290.0,27.0,12.78
2021,106190413,los angeles,emanate health inter â community hospital,isolated cabg post-operative stroke,average,290.0,5.0,1.96
2022,106190413,los angeles,emanate health inter â community hospital,isolated cabg operative mortality,average,134.0,2.0,1.97
2019,106190413,los angeles,emanate health inter-community hospital,cabg+valve operative mortality,average,331.0,2.0,9.99
2019,106190413,los angeles,emanate health inter-community hospital,isolated cabg 30-day readmission,average,331.0,26.0,9.56
2019,106190413,los angeles,emanate health inter-community hospital,isolated cabg post-operative stroke,average,331.0,4.0,1.35
2020,106190413,los angeles,emanate health inter-community hospital,isolated cabg operative mortality,average,142.0,2.0,2.22
2017,106190413,los angeles,emante health inter-community hospital,cabg + valve operative mortality,average,24.0,0.0,0.0
2017,106190413,los angeles,emante health inter-community hospital,cabg 30-day readmission,average,211.0,18.0,8.05
2017,106190413,los angeles,emante health inter-community hospital,post-operative stroke,average,250.0,7.0,2.38
2018,106190413,los angeles,emante health inter-community hospital,cabg operative mortality,average,135.0,0.0,0.0
2018,106190413,los angeles,emante health inter-community hospital,cabg+valve operative mortality,average,343.0,0.0,0.0
2018,106190413,los angeles,emante health inter-community hospital,isolated cabg 30-day readmission,better,343.0,19.0,7.07
2018,106190413,los angeles,emante health inter-community hospital,isolated cabg post-operative stroke,average,343.0,7.0,2.0
2019,106190413,los angeles,emante health inter-community hospital,isolated cabg operative mortality,average,189.0,6.0,3.39
2011,106190315,los angeles,garfield medical center,post-operative stroke,average,252.0,6.0,1.82
2012,106190315,los angeles,garfield medical center,30-day readmission,average,98.0,12.0,11.09
2012,106190315,los angeles,garfield medical center,operative mortality,average,136.0,0.0,0.0
2013,106190315,los angeles,garfield medical center,30-day readmission,average,70.0,11.0,15.71
2013,106190315,los angeles,garfield medical center,cabg + valve operative mortality,average,33.0,0.0,0.0
2013,106190315,los angeles,garfield medical center,cabg operative mortality,average,107.0,1.0,1.33
2013,106190315,los angeles,garfield medical center,post-operative stroke,average,209.0,1.0,0.49
2014,106190315,los angeles,garfield medical center,30-day readmission,average,147.0,19.0,12.33
2014,106190315,los angeles,garfield medical center,cabg + valve operative mortality,average,32.0,0.0,0.0
2014,106190315,los angeles,garfield medical center,cabg operative mortality,average,102.0,1.0,0.95
2014,106190315,los angeles,garfield medical center,post-operative stroke,average,226.0,3.0,1.41
2015,106190315,los angeles,garfield medical center,cabg + valve operative mortality,average,31.0,0.0,0.0
2015,106190315,los angeles,garfield medical center,cabg 30-day readmission,average,166.0,19.0,11.71
2015,106190315,los angeles,garfield medical center,cabg operative mortality,average,124.0,5.0,4.7
2015,106190315,los angeles,garfield medical center,post-operative stroke,average,271.0,5.0,2.01
2016,106190315,los angeles,garfield medical center,cabg + valve operative mortality,average,26.0,1.0,3.14
2016,106190315,los angeles,garfield medical center,cabg operative mortality,average,147.0,3.0,2.33
2016,106190315,los angeles,garfield medical center,post-operative stroke,average,306.0,7.0,2.41
2017,106190315,los angeles,garfield medical center,cabg + valve operative mortality,average,29.0,1.0,3.41
2017,106190315,los angeles,garfield medical center,cabg 30-day readmission,average,198.0,29.0,14.63
2017,106190315,los angeles,garfield medical center,cabg operative mortality,average,159.0,0.0,0.0
2017,106190315,los angeles,garfield medical center,post-operative stroke,worse,319.0,13.0,3.69
2018,106190315,los angeles,garfield medical center,cabg operative mortality,average,160.0,8.0,5.55
2018,106190315,los angeles,garfield medical center,cabg+valve operative mortality,average,306.0,0.0,0.0
2018,106190315,los angeles,garfield medical center,isolated cabg 30-day readmission,average,306.0,20.0,13.05
2018,106190315,los angeles,garfield medical center,isolated cabg post-operative stroke,worse,306.0,11.0,3.89
2019,106190315,los angeles,garfield medical center,cabg+valve operative mortality,average,205.0,1.0,3.62
2019,106190315,los angeles,garfield medical center,isolated cabg 30-day readmission,average,205.0,8.0,8.36
2019,106190315,los angeles,garfield medical center,isolated cabg operative mortality,average,120.0,1.0,1.15
2019,106190315,los angeles,garfield medical center,isolated cabg post-operative stroke,average,205.0,3.0,1.57
2020,106190315,los angeles,garfield medical center,isolated cabg operative mortality,average,85.0,1.0,2.21
2021,106190315,los angeles,garfield medical center,cabg+valve operative mortality,average,297.0,1.0,5.33
2021,106190315,los angeles,garfield medical center,isolated cabg 30-day readmission,average,297.0,20.0,13.4
2021,106190315,los angeles,garfield medical center,isolated cabg post-operative stroke,average,297.0,2.0,0.74
2022,106190315,los angeles,garfield medical center,isolated cabg operative mortality,average,159.0,5.0,3.14
2011,106190323,los angeles,glendale adventist medical center - wilson terrace,post-operative stroke,average,225.0,1.0,0.55
2012,106190323,los angeles,glendale adventist medical center - wilson terrace,30-day readmission,worse,101.0,22.0,21.3
2012,106190323,los angeles,glendale adventist medical center - wilson terrace,operative mortality,average,115.0,4.0,4.02
2013,106190323,los angeles,glendale adventist medical center - wilson terrace,30-day readmission,average,110.0,17.0,16.72
2013,106190323,los angeles,glendale adventist medical center - wilson terrace,cabg + valve operative mortality,average,28.0,2.0,9.51
2013,106190323,los angeles,glendale adventist medical center - wilson terrace,cabg operative mortality,average,127.0,5.0,5.09
2013,106190323,los angeles,glendale adventist medical center - wilson terrace,post-operative stroke,average,242.0,4.0,2.11
2014,106190323,los angeles,glendale adventist medical center - wilson terrace,30-day readmission,worse,180.0,32.0,18.44
2014,106190323,los angeles,glendale adventist medical center - wilson terrace,cabg + valve operative mortality,average,31.0,2.0,8.42
2014,106190323,los angeles,glendale adventist medical center - wilson terrace,post-operative stroke,average,225.0,2.0,0.97
2015,106190323,los angeles,glendale adventist medical center - wilson terrace,cabg + valve operative mortality,average,20.0,2.0,13.87
2015,106190323,los angeles,glendale adventist medical center - wilson terrace,cabg 30-day readmission,average,203.0,28.0,14.66
2015,106190323,los angeles,glendale adventist medical center - wilson terrace,cabg operative mortality,average,129.0,5.0,4.33
2015,106190323,los angeles,glendale adventist medical center - wilson terrace,post-operative stroke,average,259.0,2.0,0.79
2016,106190323,los angeles,glendale adventist medical center - wilson terrace,cabg operative mortality,average,130.0,1.0,0.8
2013,106190323,los angeles,glendale adventist medical center  wilson terrace,cabg + valve operative mortality,average,35.0,1.0,4.01
2013,106190323,los angeles,glendale adventist medical center  wilson terrace,post-operative stroke,average,223.0,4.0,2.19
2014,106190323,los angeles,glendale adventist medical center  wilson terrace,cabg operative mortality,average,96.0,5.0,5.96
2011,106190522,los angeles,glendale memorial hospital and health center,post-operative stroke,average,222.0,2.0,1.01
2012,106190522,los angeles,glendale memorial hospital and health center,30-day readmission,average,110.0,11.0,10.37
2012,106190522,los angeles,glendale memorial hospital and health center,operative mortality,average,117.0,1.0,1.34
2013,106190522,los angeles,glendale memorial hospital and health center,30-day readmission,average,95.0,16.0,17.14
2013,106190522,los angeles,glendale memorial hospital and health center,cabg + valve operative mortality,average,33.0,2.0,7.4
2013,106190522,los angeles,glendale memorial hospital and health center,cabg operative mortality,average,108.0,3.0,2.64
2013,106190522,los angeles,glendale memorial hospital and health center,post-operative stroke,average,225.0,5.0,2.28
2015,106190522,los angeles,glendale memorial hospital and health center,cabg + valve operative mortality,average,30.0,1.0,2.71
2015,106190522,los angeles,glendale memorial hospital and health center,cabg 30-day readmission,average,164.0,26.0,16.57
2015,106190522,los angeles,glendale memorial hospital and health center,post-operative stroke,worse,197.0,8.0,4.13
2016,106190522,los angeles,glendale memorial hospital and health center,cabg + valve operative mortality,average,15.0,1.0,10.25
2016,106190522,los angeles,glendale memorial hospital and health center,cabg operative mortality,average,101.0,2.0,2.48
2016,106190522,los angeles,glendale memorial hospital and health center,post-operative stroke,average,195.0,6.0,3.46
2017,106190522,los angeles,glendale memorial hospital and health center,cabg + valve operative mortality,average,13.0,1.0,5.37
2017,106190522,los angeles,glendale memorial hospital and health center,cabg 30-day readmission,average,152.0,17.0,11.7
2017,106190522,los angeles,glendale memorial hospital and health center,cabg operative mortality,average,94.0,0.0,0.0
2017,106190522,los angeles,glendale memorial hospital and health center,post-operative stroke,average,196.0,1.0,0.65
2018,106190522,los angeles,glendale memorial hospital and health center,cabg operative mortality,average,102.0,2.0,2.98
2018,106190522,los angeles,glendale memorial hospital and health center,cabg+valve operative mortality,average,205.0,0.0,0.0
2018,106190522,los angeles,glendale memorial hospital and health center,isolated cabg 30-day readmission,average,205.0,15.0,11.48
2018,106190522,los angeles,glendale memorial hospital and health center,isolated cabg post-operative stroke,average,205.0,1.0,0.61
2019,106190522,los angeles,glendale memorial hospital and health center,cabg+valve operative mortality,average,136.0,0.0,0.0
2019,106190522,los angeles,glendale memorial hospital and health center,isolated cabg 30-day readmission,average,136.0,13.0,14.4
2019,106190522,los angeles,glendale memorial hospital and health center,isolated cabg operative mortality,average,89.0,0.0,0.0
2019,106190522,los angeles,glendale memorial hospital and health center,isolated cabg post-operative stroke,average,136.0,1.0,0.86
2020,106190522,los angeles,glendale memorial hospital and health center,isolated cabg operative mortality,average,47.0,0.0,0.0
2021,106190522,los angeles,glendale memorial hospital and health center,cabg+valve operative mortality,average,155.0,1.0,7.89
2021,106190522,los angeles,glendale memorial hospital and health center,isolated cabg 30-day readmission,average,155.0,11.0,10.35
2021,106190522,los angeles,glendale memorial hospital and health center,isolated cabg post-operative stroke,average,155.0,3.0,2.27
2022,106190522,los angeles,glendale memorial hospital and health center,isolated cabg operative mortality,average,77.0,0.0,0.0
2013,106190522,los angeles,glendale memorial hospital and medical center,cabg + valve operative mortality,average,35.0,3.0,10.34
2013,106190522,los angeles,glendale memorial hospital and medical center,post-operative stroke,average,228.0,4.0,1.74
2014,106190522,los angeles,glendale memorial hospital and medical center,30-day readmission,average,192.0,27.0,14.18
2014,106190522,los angeles,glendale memorial hospital and medical center,cabg + valve operative mortality,average,35.0,3.0,7.39
2014,106190522,los angeles,glendale memorial hospital and medical center,cabg operative mortality,average,120.0,0.0,0.0
2014,106190522,los angeles,glendale memorial hospital and medical center,post-operative stroke,average,216.0,4.0,2.06
2015,106190522,los angeles,glendale memorial hospital and medical center,cabg operative mortality,average,96.0,2.0,1.97
2011,106190392,los angeles,good samaritan hospital - los angeles,post-operative stroke,average,179.0,2.0,0.86
2012,106190392,los angeles,good samaritan hospital - los angeles,30-day readmission,average,65.0,11.0,14.7
2012,106190392,los angeles,good samaritan hospital - los angeles,operative mortality,average,85.0,2.0,2.25
2013,106190392,los angeles,good samaritan hospital - los angeles,30-day readmission,average,64.0,9.0,13.67
2013,106190392,los angeles,good samaritan hospital - los angeles,cabg + valve operative mortality,average,35.0,1.0,3.6
2013,106190392,los angeles,good samaritan hospital - los angeles,cabg operative mortality,average,88.0,2.0,2.27
2013,106190392,los angeles,good samaritan hospital - los angeles,post-operative stroke,average,173.0,3.0,1.53
2014,106190392,los angeles,good samaritan hospital - los angeles,30-day readmission,average,91.0,9.0,9.09
2014,106190392,los angeles,good samaritan hospital - los angeles,cabg + valve operative mortality,average,30.0,1.0,3.17
2014,106190392,los angeles,good samaritan hospital - los angeles,post-operative stroke,average,154.0,3.0,1.85
2015,106190392,los angeles,good samaritan hospital - los angeles,cabg + valve operative mortality,average,30.0,1.0,2.89
2015,106190392,los angeles,good samaritan hospital - los angeles,cabg 30-day readmission,average,90.0,7.0,8.45
2015,106190392,los angeles,good samaritan hospital - los angeles,cabg operative mortality,average,67.0,4.0,5.31
2015,106190392,los angeles,good samaritan hospital - los angeles,post-operative stroke,average,164.0,1.0,0.56
2016,106190392,los angeles,good samaritan hospital - los angeles,cabg + valve operative mortality,average,25.0,2.0,6.46
2016,106190392,los angeles,good samaritan hospital - los angeles,cabg operative mortality,average,97.0,1.0,1.19
2016,106190392,los angeles,good samaritan hospital - los angeles,post-operative stroke,average,194.0,1.0,0.5
2017,106190392,los angeles,good samaritan hospital - los angeles,cabg + valve operative mortality,average,20.0,1.0,5.82
2017,106190392,los angeles,good samaritan hospital - los angeles,cabg 30-day readmission,average,124.0,17.0,14.91
2017,106190392,los angeles,good samaritan hospital - los angeles,cabg operative mortality,average,97.0,2.0,1.8
2017,106190392,los angeles,good samaritan hospital - los angeles,post-operative stroke,average,179.0,2.0,1.13
2018,106190392,los angeles,good samaritan hospital - los angeles,cabg operative mortality,average,82.0,3.0,4.95
2018,106190392,los angeles,good samaritan hospital - los angeles,cabg+valve operative mortality,average,219.0,1.0,4.49
2018,106190392,los angeles,good samaritan hospital - los angeles,isolated cabg 30-day readmission,average,219.0,13.0,11.23
2018,106190392,los angeles,good samaritan hospital - los angeles,isolated cabg post-operative stroke,average,219.0,1.0,0.58
2019,106190392,los angeles,good samaritan hospital - los angeles,isolated cabg operative mortality,average,115.0,3.0,3.81
2013,106190392,los angeles,good samaritan hospital  los angeles,cabg + valve operative mortality,average,32.0,2.0,5.88
2013,106190392,los angeles,good samaritan hospital  los angeles,post-operative stroke,average,175.0,3.0,1.77
2014,106190392,los angeles,good samaritan hospital  los angeles,cabg operative mortality,average,87.0,2.0,2.22
2015,106190949,los angeles,henry mayo newhall hospital,cabg + valve operative mortality,average,13.0,2.0,15.55
2015,106190949,los angeles,henry mayo newhall hospital,cabg 30-day readmission,average,46.0,7.0,16.15
2015,106190949,los angeles,henry mayo newhall hospital,post-operative stroke,average,53.0,1.0,1.86
2016,106190949,los angeles,henry mayo newhall hospital,cabg + valve operative mortality,average,16.0,0.0,0.0
2016,106190949,los angeles,henry mayo newhall hospital,cabg operative mortality,average,24.0,1.0,3.81
2016,106190949,los angeles,henry mayo newhall hospital,post-operative stroke,average,67.0,1.0,1.68
2017,106190949,los angeles,henry mayo newhall hospital,cabg + valve operative mortality,average,14.0,0.0,0.0
2017,106190949,los angeles,henry mayo newhall hospital,cabg 30-day readmission,worse,64.0,13.0,22.17
2017,106190949,los angeles,henry mayo newhall hospital,cabg operative mortality,average,43.0,0.0,0.0
2017,106190949,los angeles,henry mayo newhall hospital,post-operative stroke,average,76.0,1.0,1.56
2018,106190949,los angeles,henry mayo newhall hospital,cabg operative mortality,average,33.0,1.0,2.06
2018,106190949,los angeles,henry mayo newhall hospital,cabg+valve operative mortality,average,95.0,0.0,0.0
2018,106190949,los angeles,henry mayo newhall hospital,isolated cabg 30-day readmission,average,95.0,13.0,20.01
2018,106190949,los angeles,henry mayo newhall hospital,isolated cabg post-operative stroke,average,95.0,1.0,1.12
2019,106190949,los angeles,henry mayo newhall hospital,cabg+valve operative mortality,average,94.0,1.0,12.46
2019,106190949,los angeles,henry mayo newhall hospital,isolated cabg 30-day readmission,average,94.0,15.0,20.06
2019,106190949,los angeles,henry mayo newhall hospital,isolated cabg operative mortality,average,52.0,3.0,3.8
2019,106190949,los angeles,henry mayo newhall hospital,isolated cabg post-operative stroke,average,94.0,0.0,0.0
2020,106190949,los angeles,henry mayo newhall hospital,isolated cabg operative mortality,average,42.0,0.0,0.0
2021,106190949,los angeles,henry mayo newhall hospital,cabg+valve operative mortality,average,84.0,1.0,18.23
2021,106190949,los angeles,henry mayo newhall hospital,isolated cabg 30-day readmission,average,84.0,7.0,14.39
2021,106190949,los angeles,henry mayo newhall hospital,isolated cabg post-operative stroke,average,84.0,1.0,1.23
2022,106190949,los angeles,henry mayo newhall hospital,isolated cabg operative mortality,average,42.0,0.0,0.0
2011,106190949,los angeles,henry mayo newhall memorial hospital,post-operative stroke,average,2.0,0.0,0.0
2012,106190949,los angeles,henry mayo newhall memorial hospital,30-day readmission,average,2.0,0.0,0.0
2012,106190949,los angeles,henry mayo newhall memorial hospital,operative mortality,average,2.0,0.0,0.0
2013,106190949,los angeles,henry mayo newhall memorial hospital,30-day readmission,worse,12.0,5.0,39.29
2013,106190949,los angeles,henry mayo newhall memorial hospital,cabg + valve operative mortality,average,12.0,1.0,7.81
2013,106190949,los angeles,henry mayo newhall memorial hospital,cabg operative mortality,average,13.0,0.0,0.0
2013,106190949,los angeles,henry mayo newhall memorial hospital,post-operative stroke,average,48.0,1.0,1.93
2014,106190949,los angeles,henry mayo newhall memorial hospital,30-day readmission,average,55.0,7.0,11.78
2014,106190949,los angeles,henry mayo newhall memorial hospital,cabg + valve operative mortality,average,13.0,2.0,17.74
2014,106190949,los angeles,henry mayo newhall memorial hospital,cabg operative mortality,average,35.0,1.0,2.14
2014,106190949,los angeles,henry mayo newhall memorial hospital,post-operative stroke,average,64.0,0.0,0.0
2015,106190949,los angeles,henry mayo newhall memorial hospital,cabg operative mortality,average,29.0,0.0,0.0
2011,106190382,los angeles,hollywood presbyterian medical center,post-operative stroke,average,34.0,0.0,0.0
2012,106190382,los angeles,hollywood presbyterian medical center,30-day readmission,average,18.0,4.0,23.27
2012,106190382,los angeles,hollywood presbyterian medical center,operative mortality,average,22.0,0.0,0.0
2013,106190382,los angeles,hollywood presbyterian medical center,30-day readmission,average,43.0,10.0,21.79
2013,106190382,los angeles,hollywood presbyterian medical center,cabg + valve operative mortality,average,3.0,1.0,41.95
2013,106190382,los angeles,hollywood presbyterian medical center,cabg operative mortality,average,47.0,2.0,3.93
2013,106190382,los angeles,hollywood presbyterian medical center,post-operative stroke,average,89.0,1.0,1.15
2014,106190382,los angeles,hollywood presbyterian medical center,30-day readmission,worse,68.0,17.0,20.01
2014,106190382,los angeles,hollywood presbyterian medical center,cabg + valve operative mortality,average,2.0,1.0,103.02
2014,106190382,los angeles,hollywood presbyterian medical center,cabg operative mortality,average,42.0,1.0,2.78
2014,106190382,los angeles,hollywood presbyterian medical center,post-operative stroke,average,93.0,2.0,1.74
2015,106190382,los angeles,hollywood presbyterian medical center,cabg + valve operative mortality,average,2.0,0.0,0.0
2015,106190382,los angeles,hollywood presbyterian medical center,cabg 30-day readmission,worse,76.0,20.0,22.03
2015,106190382,los angeles,hollywood presbyterian medical center,cabg operative mortality,average,51.0,3.0,3.85
2015,106190382,los angeles,hollywood presbyterian medical center,post-operative stroke,average,93.0,3.0,2.9
2016,106190382,los angeles,hollywood presbyterian medical center,cabg + valve operative mortality,average,2.0,0.0,0.0
2016,106190382,los angeles,hollywood presbyterian medical center,cabg operative mortality,average,42.0,0.0,0.0
