Year,County,Hospital,Hospital ID,Performance Measure,Statewide All PCI Cases,Statewide Elective PCIs ,Statewide Adverse Events,Statewide ObservedAdverse Events Rate (%),Hospital Total PCI Cases,Hospital All/Elective PCI Cases,Hospital Elective PCI Cases,Hospital Primary PCI Cases, Hospital Adverse Events,Hospital ObservedAdverse Events Rate (%), Hospital Expected Adverse Events Rate (%),"Hospital Risk-Adjusted Adverse Events Rate (%, RAAER)",Latitude,Longitude
2021,Alameda,Highland Hospital ,106010846,Elective PCI Mortality,"52,230","20,096",63,0.31,150,13,13,137,0,0,0.58,0,37.79925,-122.23138
2021,Alameda,Highland Hospital ,106010846,Elective PCI Stroke,"52,230","20,096",36,0.18,150,13,13,137,0,0,0.18,0,37.79925,-122.23138
2021,Alameda,Highland Hospital ,106010846,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,150,13,13,137,0,N/A,N/A,N/A,37.79925,-122.23138
2021,Alameda,Highland Hospital ,106010846,All PCI Mortality,"52,230","20,096","1,433",2.74,150,150,13,137,6,4,6.68,1.64,37.79925,-122.23138
2021,Alameda,Highland Hospital ,106010846,All PCI Stroke,"52,230","20,096",252,0.48,150,150,13,137,1,0.67,0.67,0.48,37.79925,-122.23138
2021,Alameda,Highland Hospital ,106010846,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,150,150,13,137,0,N/A,N/A,N/A,37.79925,-122.23138
2021,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Mortality,"52,230","20,096",63,0.31,80,2,2,78,0,0,0.42,0,33.70677,-116.23391
2021,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Stroke,"52,230","20,096",36,0.18,80,2,2,78,0,0,0.52,0,33.70677,-116.23391
2021,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,80,2,2,78,0,N/A,N/A,N/A,33.70677,-116.23391
2021,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Mortality,"52,230","20,096","1,433",2.74,80,80,2,78,4,5,4.08,3.36,33.70677,-116.23391
2021,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Stroke,"52,230","20,096",252,0.48,80,80,2,78,0,0,0.7,0,33.70677,-116.23391
2021,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,80,80,2,78,0,N/A,N/A,N/A,33.70677,-116.23391
2021,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Mortality,"52,230","20,096",63,0.31,284,53,53,231,0,0,0.15,0,37.82402,-122.25791
2021,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Stroke,"52,230","20,096",36,0.18,284,53,53,231,0,0,0.16,0,37.82402,-122.25791
2021,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,284,53,53,231,0,N/A,N/A,N/A,37.82402,-122.25791
2021,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Mortality,"52,230","20,096","1,433",2.74,284,284,53,231,6,2.11,3.02,1.92,37.82402,-122.25791
2021,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Stroke,"52,230","20,096",252,0.48,284,284,53,231,2,0.7,0.62,0.55,37.82402,-122.25791
2021,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,284,284,53,231,0,N/A,N/A,N/A,37.82402,-122.25791
2021,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Mortality,"52,230","20,096",63,0.31,356,144,144,212,0,0,0.24,0,33.65816,-117.7749
2021,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Stroke,"52,230","20,096",36,0.18,356,144,144,212,0,0,0.15,0,33.65816,-117.7749
2021,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,356,144,144,212,0,N/A,N/A,N/A,33.65816,-117.7749
2021,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Mortality,"52,230","20,096","1,433",2.74,356,356,144,212,2,0.56,1.2,1.28,33.65816,-117.7749
2021,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Stroke,"52,230","20,096",252,0.48,356,356,144,212,1,0.28,0.31,0.44,33.65816,-117.7749
2021,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,356,356,144,212,0,N/A,N/A,N/A,33.65816,-117.7749
2021,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Mortality,"52,230","20,096",63,0.31,499,95,95,404,0,0,0.18,0,38.74636,-121.25107
2021,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Stroke,"52,230","20,096",36,0.18,499,95,95,404,0,0,0.14,0,38.74636,-121.25107
2021,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,499,95,95,404,0,N/A,N/A,N/A,38.74636,-121.25107
2021,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Mortality,"52,230","20,096","1,433",2.74,499,499,95,404,2,0.4,1.84,0.6,38.74636,-121.25107
2021,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Stroke,"52,230","20,096",252,0.48,499,499,95,404,1,0.2,0.48,0.2,38.74636,-121.25107
2021,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,499,499,95,404,0,N/A,N/A,N/A,38.74636,-121.25107
2021,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,Elective PCI Mortality,"52,230","20,096",63,0.31,196,15,15,181,0,0,0.19,0,37.23924,-121.80269
2021,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,Elective PCI Stroke,"52,230","20,096",36,0.18,196,15,15,181,0,0,0.13,0,37.23924,-121.80269
2021,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,196,15,15,181,0,N/A,N/A,N/A,37.23924,-121.80269
2021,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,All PCI Mortality,"52,230","20,096","1,433",2.74,196,196,15,181,5,2.55,3.84,1.82,37.23924,-121.80269
2021,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,All PCI Stroke,"52,230","20,096",252,0.48,196,196,15,181,1,0.51,0.75,0.33,37.23924,-121.80269
2021,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,196,196,15,181,1,N/A,N/A,N/A,37.23924,-121.80269
2021,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,Elective PCI Mortality,"52,230","20,096",63,0.31,464,57,57,407,0,0,0.27,0,38.47144,-121.42409
2021,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,Elective PCI Stroke,"52,230","20,096",36,0.18,464,57,57,407,0,0,0.2,0,38.47144,-121.42409
2021,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,464,57,57,407,0,N/A,N/A,N/A,38.47144,-121.42409
2021,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,All PCI Mortality,"52,230","20,096","1,433",2.74,464,464,57,407,15,3.23,4.03,2.2,38.47144,-121.42409
2021,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,All PCI Stroke,"52,230","20,096",252,0.48,464,464,57,407,2,0.43,0.63,0.33,38.47144,-121.42409
2021,Sacramento,Kaiser Foundation Hospital – South Sacramento,106342344,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,464,464,57,407,0,N/A,N/A,N/A,38.47144,-121.42409
2021,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,Elective PCI Mortality,"52,230","20,096",63,0.31,430,131,131,299,0,0,0.21,0,37.8923,-122.05828
2021,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,Elective PCI Stroke,"52,230","20,096",36,0.18,430,131,131,299,0,0,0.17,0,37.8923,-122.05828
2021,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,430,131,131,299,0,N/A,N/A,N/A,37.8923,-122.05828
2021,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,All PCI Mortality,"52,230","20,096","1,433",2.74,430,430,131,299,5,1.16,1.41,2.25,37.8923,-122.05828
2021,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,All PCI Stroke,"52,230","20,096",252,0.48,430,430,131,299,0,0,0.39,0,37.8923,-122.05828
2021,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,106070990,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,430,430,131,299,0,N/A,N/A,N/A,37.8923,-122.05828
2021,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,Elective PCI Mortality,"52,230","20,096",63,0.31,297,79,79,218,0,0,0.21,0,38.12839,-122.24761
2021,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,Elective PCI Stroke,"52,230","20,096",36,0.18,297,79,79,218,0,0,0.17,0,38.12839,-122.24761
2021,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,297,79,79,218,0,N/A,N/A,N/A,38.12839,-122.24761
2021,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,All PCI Mortality,"52,230","20,096","1,433",2.74,297,297,79,218,4,1.35,2.42,1.53,38.12839,-122.24761
2021,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,All PCI Stroke,"52,230","20,096",252,0.48,297,297,79,218,0,0,0.53,0,38.12839,-122.24761
2021,Solano,Kaiser Foundation Hospital & Rehab Center – Vallejo,106480989,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,297,297,79,218,0,N/A,N/A,N/A,38.12839,-122.24761
2021,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,Elective PCI Mortality,"52,230","20,096",63,0.31,124,9,9,115,0,0,0.25,0,37.70629,-121.05242
2021,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,Elective PCI Stroke,"52,230","20,096",36,0.18,124,9,9,115,0,0,0.16,0,37.70629,-121.05242
2021,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,124,9,9,115,0,N/A,N/A,N/A,37.70629,-121.05242
2021,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,All PCI Mortality,"52,230","20,096","1,433",2.74,124,124,9,115,4,3.23,3.69,2.39,37.70629,-121.05242
2021,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,All PCI Stroke,"52,230","20,096",252,0.48,124,124,9,115,1,0.81,0.72,0.54,37.70629,-121.05242
2021,Stanislaus,Kaiser Foundation Hospital – Modesto,106504042,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,124,124,9,115,0,N/A,N/A,N/A,37.70629,-121.05242
2021,Orange,Los Alamitos Medical Center,106301248,Elective PCI Mortality,"52,230","20,096",63,0.31,188,41,41,147,0,0,0.19,0,33.80327,-118.0674
2021,Orange,Los Alamitos Medical Center,106301248,Elective PCI Stroke,"52,230","20,096",36,0.18,188,41,41,147,0,0,0.12,0,33.80327,-118.0674
2021,Orange,Los Alamitos Medical Center,106301248,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,188,41,41,147,0,N/A,N/A,N/A,33.80327,-118.0674
2021,Orange,Los Alamitos Medical Center,106301248,All PCI Mortality,"52,230","20,096","1,433",2.74,188,188,41,147,7,3.72,3.6,2.84,33.80327,-118.0674
2021,Orange,Los Alamitos Medical Center,106301248,All PCI Stroke,"52,230","20,096",252,0.48,188,188,41,147,0,0,0.48,0,33.80327,-118.0674
2021,Orange,Los Alamitos Medical Center,106301248,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,188,188,41,147,0,N/A,N/A,N/A,33.80327,-118.0674
2021,Merced,Mercy Medical Center – Merced,106240942,Elective PCI Mortality,"52,230","20,096",63,0.31,29,15,15,14,0,0,0.22,0,37.34023,-120.46518
2021,Merced,Mercy Medical Center – Merced,106240942,Elective PCI Stroke,"52,230","20,096",36,0.18,29,15,15,14,0,0,0.19,0,37.34023,-120.46518
2021,Merced,Mercy Medical Center – Merced,106240942,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,29,15,15,14,0,N/A,N/A,N/A,37.34023,-120.46518
2021,Merced,Mercy Medical Center – Merced,106240942,All PCI Mortality,"52,230","20,096","1,433",2.74,29,29,15,14,0,0,0.82,0,37.34023,-120.46518
2021,Merced,Mercy Medical Center – Merced,106240942,All PCI Stroke,"52,230","20,096",252,0.48,29,29,15,14,0,0,0.34,0,37.34023,-120.46518
2021,Merced,Mercy Medical Center – Merced,106240942,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,29,29,15,14,0,N/A,N/A,N/A,37.34023,-120.46518
2021,Tulare,Sierra View Medical Center ,106540798,Elective PCI Mortality,"52,230","20,096",63,0.31,89,52,52,37,0,0,0.3,0,36.06948,-119.02727
2021,Tulare,Sierra View Medical Center ,106540798,Elective PCI Stroke,"52,230","20,096",36,0.18,89,52,52,37,0,0,0.16,0,36.06948,-119.02727
2021,Tulare,Sierra View Medical Center ,106540798,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,89,52,52,37,0,N/A,N/A,N/A,36.06948,-119.02727
2021,Tulare,Sierra View Medical Center ,106540798,All PCI Mortality,"52,230","20,096","1,433",2.74,89,89,52,37,1,1.12,1.66,1.85,36.06948,-119.02727
2021,Tulare,Sierra View Medical Center ,106540798,All PCI Stroke,"52,230","20,096",252,0.48,89,89,52,37,0,0,0.28,0,36.06948,-119.02727
2021,Tulare,Sierra View Medical Center ,106540798,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,89,89,52,37,0,N/A,N/A,N/A,36.06948,-119.02727
2021,Alameda,St. Rose Hospital ,106010967,Elective PCI Mortality,"52,230","20,096",63,0.31,182,15,15,167,0,0,0.33,0,37.63291,-122.08962
2021,Alameda,St. Rose Hospital ,106010967,Elective PCI Stroke,"52,230","20,096",36,0.18,182,15,15,167,0,0,0.21,0,37.63291,-122.08962
2021,Alameda,St. Rose Hospital ,106010967,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,182,15,15,167,0,N/A,N/A,N/A,37.63291,-122.08962
2021,Alameda,St. Rose Hospital ,106010967,All PCI Mortality,"52,230","20,096","1,433",2.74,182,182,15,167,11,6.04,9.28,1.79,37.63291,-122.08962
2021,Alameda,St. Rose Hospital ,106010967,All PCI Stroke,"52,230","20,096",252,0.48,182,182,15,167,0,0,0.76,0,37.63291,-122.08962
2021,Alameda,St. Rose Hospital ,106010967,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,182,182,15,167,0,N/A,N/A,N/A,37.63291,-122.08962
2021,Contra Costa,Sutter Delta Medical Center ,106070934,Elective PCI Mortality,"52,230","20,096",63,0.31,327,51,51,276,0,0,0.24,0,37.98222,-121.8054
2021,Contra Costa,Sutter Delta Medical Center ,106070934,Elective PCI Stroke,"52,230","20,096",36,0.18,327,51,51,276,0,0,0.2,0,37.98222,-121.8054
2021,Contra Costa,Sutter Delta Medical Center ,106070934,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,327,51,51,276,0,N/A,N/A,N/A,37.98222,-121.8054
2021,Contra Costa,Sutter Delta Medical Center ,106070934,All PCI Mortality,"52,230","20,096","1,433",2.74,327,327,51,276,9,2.75,2.63,2.87,37.98222,-121.8054
2021,Contra Costa,Sutter Delta Medical Center ,106070934,All PCI Stroke,"52,230","20,096",252,0.48,327,327,51,276,2,0.61,0.73,0.4,37.98222,-121.8054
2021,Contra Costa,Sutter Delta Medical Center ,106070934,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,327,327,51,276,0,N/A,N/A,N/A,37.98222,-121.8054
2021,Placer,Sutter Roseville Medical Center ,106311000,Elective PCI Mortality,"52,230","20,096",63,0.31,517,141,141,376,0,0,0.29,0,38.76515,-121.24922
2021,Placer,Sutter Roseville Medical Center ,106311000,Elective PCI Stroke,"52,230","20,096",36,0.18,517,141,141,376,0,0,0.2,0,38.76515,-121.24922
2021,Placer,Sutter Roseville Medical Center ,106311000,Elective PCI Emergency CABG,"52,230","20,096",N/A,N/A,517,141,141,376,0,N/A,N/A,N/A,38.76515,-121.24922
2021,Placer,Sutter Roseville Medical Center ,106311000,All PCI Mortality,"52,230","20,096","1,433",2.74,517,517,141,376,13,2.51,4.54,1.52,38.76515,-121.24922
2021,Placer,Sutter Roseville Medical Center ,106311000,All PCI Stroke,"52,230","20,096",252,0.48,517,517,141,376,2,0.39,0.75,0.25,38.76515,-121.24922
2021,Placer,Sutter Roseville Medical Center ,106311000,All PCI Emergency CABG,"52,230","20,096",N/A,N/A,517,517,141,376,0,N/A,N/A,N/A,38.76515,-121.24922
2020,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Mortality,"48,904","18,330",46,0.25,197,64,64,133,0,0,0.16,0,34.28973,-118.74394
2020,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Stroke,"48,904","18,330",19,0.1,197,64,64,133,0,0,0.08,0,34.28973,-118.74394
2020,Ventura,Adventist Health Simi Valley,106560525,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,197,64,64,133,0,N/A,N/A,N/A,34.28973,-118.74394
2020,Ventura,Adventist Health Simi Valley,106560525,All PCI Mortality,"48,904","18,330","1,245",2.55,197,197,64,133,3,1.52,0.99,3.9,34.28973,-118.74394
2020,Ventura,Adventist Health Simi Valley,106560525,All PCI Stroke,"48,904","18,330",194,0.4,197,197,64,133,0,0,0.33,0,34.28973,-118.74394
2020,Ventura,Adventist Health Simi Valley,106560525,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,197,197,64,133,0,N/A,N/A,N/A,34.28973,-118.74394
2020,Fresno,Clovis Community Medical Center,106100005,Elective PCI Mortality,"48,904","18,330",46,0.25,377,222,222,155,1,0.45,0.22,0.52,36.83745,-119.66072
2020,Fresno,Clovis Community Medical Center,106100005,Elective PCI Stroke,"48,904","18,330",19,0.1,377,222,222,155,0,0,0.09,0,36.83745,-119.66072
2020,Fresno,Clovis Community Medical Center,106100005,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,377,222,222,155,0,N/A,N/A,N/A,36.83745,-119.66072
2020,Fresno,Clovis Community Medical Center,106100005,All PCI Mortality,"48,904","18,330","1,245",2.55,377,377,222,155,8,2.12,1.61,3.36,36.83745,-119.66072
2020,Fresno,Clovis Community Medical Center,106100005,All PCI Stroke,"48,904","18,330",194,0.4,377,377,222,155,1,0.27,0.28,0.38,36.83745,-119.66072
2020,Fresno,Clovis Community Medical Center,106100005,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,377,377,222,155,1,N/A,N/A,N/A,36.83745,-119.66072
2020,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Mortality,"48,904","18,330",46,0.25,76,32,32,44,1,3.13,0.25,3.18,33.87334,-117.5668
2020,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Stroke,"48,904","18,330",19,0.1,76,32,32,44,0,0,0.09,0,33.87334,-117.5668
2020,Riverside,Corona Regional Medical Center – Main,106331152,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,76,32,32,44,0,N/A,N/A,N/A,33.87334,-117.5668
2020,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Mortality,"48,904","18,330","1,245",2.55,76,76,32,44,3,3.95,3.18,3.16,33.87334,-117.5668
2020,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Stroke,"48,904","18,330",194,0.4,76,76,32,44,0,0,0.32,0,33.87334,-117.5668
2020,Riverside,Corona Regional Medical Center – Main,106331152,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,76,76,32,44,0,N/A,N/A,N/A,33.87334,-117.5668
2020,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Mortality,"48,904","18,330",46,0.25,248,69,69,179,0,0,0.23,0,34.47093,-117.29778
2020,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Stroke,"48,904","18,330",19,0.1,248,69,69,179,0,0,0.07,0,34.47093,-117.29778
2020,San Bernardino,Desert Valley Hospital ,106364144,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,248,69,69,179,1,N/A,N/A,N/A,34.47093,-117.29778
2020,San Bernardino,Desert Valley Hospital ,106364144,All PCI Mortality,"48,904","18,330","1,245",2.55,248,248,69,179,9,3.63,1.76,5.25,34.47093,-117.29778
2020,San Bernardino,Desert Valley Hospital ,106364144,All PCI Stroke,"48,904","18,330",194,0.4,248,248,69,179,0,0,0.29,0,34.47093,-117.29778
2020,San Bernardino,Desert Valley Hospital ,106364144,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,248,248,69,179,1,N/A,N/A,N/A,34.47093,-117.29778
2020,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Mortality,"48,904","18,330",46,0.25,393,94,94,299,0,0,0.17,0,37.51052,-120.83966
2020,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Stroke,"48,904","18,330",19,0.1,393,94,94,299,0,0,0.08,0,37.51052,-120.83966
2020,Stanislaus,Emanuel Medical Center ,106500867,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,393,94,94,299,0,N/A,N/A,N/A,37.51052,-120.83966
2020,Stanislaus,Emanuel Medical Center ,106500867,All PCI Mortality,"48,904","18,330","1,245",2.55,393,393,94,299,11,2.8,2.65,2.69,37.51052,-120.83966
2020,Stanislaus,Emanuel Medical Center ,106500867,All PCI Stroke,"48,904","18,330",194,0.4,393,393,94,299,1,0.25,0.45,0.23,37.51052,-120.83966
2020,Stanislaus,Emanuel Medical Center ,106500867,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,393,393,94,299,2,N/A,N/A,N/A,37.51052,-120.83966
2020,Alameda,Highland Hospital ,106010846,Elective PCI Mortality,"48,904","18,330",46,0.25,130,14,14,116,0,0,0.23,0,37.79925,-122.23138
2020,Alameda,Highland Hospital ,106010846,Elective PCI Stroke,"48,904","18,330",19,0.1,130,14,14,116,0,0,0.08,0,37.79925,-122.23138
2020,Alameda,Highland Hospital ,106010846,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,130,14,14,116,0,N/A,N/A,N/A,37.79925,-122.23138
2020,Alameda,Highland Hospital ,106010846,All PCI Mortality,"48,904","18,330","1,245",2.55,130,130,14,116,5,3.85,5.34,1.84,37.79925,-122.23138
2020,Alameda,Highland Hospital ,106010846,All PCI Stroke,"48,904","18,330",194,0.4,130,130,14,116,0,0,0.56,0,37.79925,-122.23138
2020,Alameda,Highland Hospital ,106010846,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,130,130,14,116,0,N/A,N/A,N/A,37.79925,-122.23138
2020,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Mortality,"48,904","18,330",46,0.25,82,0,0,82,0,0,N/A,N/A,33.70677,-116.23391
2020,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Stroke,"48,904","18,330",19,0.1,82,0,0,82,0,0,N/A,N/A,33.70677,-116.23391
2020,Riverside,John F. Kennedy Memorial Hospital ,106331216,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,82,0,0,82,0,N/A,N/A,N/A,33.70677,-116.23391
2020,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Mortality,"48,904","18,330","1,245",2.55,82,82,0,82,4,4.88,3.76,3.3,33.70677,-116.23391
2020,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Stroke,"48,904","18,330",194,0.4,82,82,0,82,0,0,0.57,0,33.70677,-116.23391
2020,Riverside,John F. Kennedy Memorial Hospital ,106331216,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,82,82,0,82,1,N/A,N/A,N/A,33.70677,-116.23391
2020,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Mortality,"48,904","18,330",46,0.25,257,41,41,216,0,0,0.14,0,37.82402,-122.25791
2020,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Stroke,"48,904","18,330",19,0.1,257,41,41,216,0,0,0.09,0,37.82402,-122.25791
2020,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,257,41,41,216,0,N/A,N/A,N/A,37.82402,-122.25791
2020,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Mortality,"48,904","18,330","1,245",2.55,257,257,41,216,8,3.11,3.21,2.47,37.82402,-122.25791
2020,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Stroke,"48,904","18,330",194,0.4,257,257,41,216,2,0.78,0.51,0.61,37.82402,-122.25791
2020,Alameda,Kaiser Foundation Hospital – Oakland/Richmond,106014326,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,257,257,41,216,0,N/A,N/A,N/A,37.82402,-122.25791
2020,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Mortality,"48,904","18,330",46,0.25,362,143,143,219,0,0,0.18,0,33.65816,-117.7749
2020,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Stroke,"48,904","18,330",19,0.1,362,143,143,219,0,0,0.07,0,33.65816,-117.7749
2020,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,362,143,143,219,0,N/A,N/A,N/A,33.65816,-117.7749
2020,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Mortality,"48,904","18,330","1,245",2.55,362,362,143,219,3,0.83,0.83,2.56,33.65816,-117.7749
2020,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Stroke,"48,904","18,330",194,0.4,362,362,143,219,0,0,0.24,0,33.65816,-117.7749
2020,Orange,Kaiser Foundation Hospital – Orange County – Irvine,106304306,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,362,362,143,219,1,N/A,N/A,N/A,33.65816,-117.7749
2020,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Mortality,"48,904","18,330",46,0.25,496,80,80,416,0,0,0.18,0,38.74636,-121.25107
2020,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Stroke,"48,904","18,330",19,0.1,496,80,80,416,0,0,0.08,0,38.74636,-121.25107
2020,Placer,Kaiser Foundation Hospital – Roseville,106314024,Elective PCI Emergency CABG,"48,904","18,330",N/A,N/A,496,80,80,416,0,N/A,N/A,N/A,38.74636,-121.25107
2020,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Mortality,"48,904","18,330","1,245",2.55,496,496,80,416,9,1.81,1.63,2.84,38.74636,-121.25107
2020,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Stroke,"48,904","18,330",194,0.4,496,496,80,416,0,0,0.37,0,38.74636,-121.25107
2020,Placer,Kaiser Foundation Hospital – Roseville,106314024,All PCI Emergency CABG,"48,904","18,330",N/A,N/A,496,496,80,416,0,N/A,N/A,N/A,38.74636,-121.25107
2020,Santa Clara,Kaiser Foundation Hospital – San Jose,106431506,Elective PCI Mortality,"48,904","18,330",46,0.25,173,10,10,163,0,0,0.18,0,37.23924,-121.80269
