Year,County,OSHPDID,Hospital Name,Postoperative Sepsis Cases,Elective Surgical Discharges,Risk-adjusted Postoperative Sepsis Rate,Risk-adjusted Performance Rating,Latitude,Longitude
2019,Solano,106480989,Kaiser Foundation Hospital & Rehabilitation Center – Vallejo,2,306,0.23,Average,38.12839,-122.24761
2019,Solano,106481094,Sutter Solano Medical Center,6,463,1.22,Below Average,38.13109,-122.23852
2019,Solano,106481357,NorthBay Medical Center,2,459,0.53,Average,38.26097,-122.05076
2019,Solano,106484044,Kaiser Foundation Hospital – Vacaville,1,507,0.18,Average,38.3894968,-121.9373177
2019,Sonoma,106490964,Healdsburg District Hospital,0,109,0,Average,38.62764,-122.86385
2019,Sonoma,106491001,Petaluma Valley Hospital,0,106,0,Average,38.25323,-122.63302
2019,Sonoma,106491064,Santa Rosa Memorial Hospital – Montgomery,0,1141,0,Average,38.4429,-122.70149
2019,Sonoma,106491076,Sonoma Valley Hospital,1,168,1.46,Average,38.28841,-122.46524
2019,Sonoma,106494019,Kaiser Foundation Hospital – Santa Rosa,4,686,0.53,Average,38.47087,-122.73119
2019,Sonoma,106494106,Sutter Santa Rosa Regional Hospital,3,1142,0.46,Average,38.49636,-122.7514
2019,Stanislaus,106500852,Doctors Medical Center,4,805,0.7,Average,37.66439,-120.99631
2019,Stanislaus,106500867,Emanuel Medical Center,2,287,0.86,Average,37.51052,-120.83966
2019,Stanislaus,106500939,Memorial Medical Center – Modesto,8,1785,0.68,Average,37.66868,-120.973381
2019,Stanislaus,106504038,Stanislaus Surgical Hospital,0,369,0,Average,37.66395,-120.95756
2019,Sutter,106514030,Sutter Surgical Hospital – North Valley,1,463,0.37,Average,39.13216,-121.61354
2019,Tehama,106521041,Saint Elizabeth Community Hospital,0,160,0,Average,40.1495,-122.21887
2019,Tulare,106540734,Kaweah Delta Medical Center,4,811,0.61,Average,36.32753,-119.29345
2019,Tulare,106540798,Sierra View Medical Center,0,253,0,Average,36.06948,-119.02727
2019,Tuolumne,106554011,Adventist Health Sonora – Greenley,1,422,0.34,Average,37.97568,-120.369
2019,Ventura,106560473,Community Memorial Hospital – San Buenaventura,3,1678,0.3,Average,34.274589,-119.258124
2019,Ventura,106560492,Los Robles Hospital and Medical Center,7,2357,0.47,Average,34.20762,-118.882411
2019,Ventura,106560508,Saint John’s Pleasant Valley Hospital,2,150,1.86,Average,34.24177,-119.018
2019,Ventura,106560525,Adventist Health Simi Valley,1,277,0.53,Average,34.28973,-118.74394
2019,Ventura,106560529,Saint John’s Regional Medical Center,6,883,0.76,Average,34.21687,-119.15819
2019,Yolo,106571086,Woodland Memorial Hospital,1,461,0.43,Average,38.66284,-121.7933
2019,Yolo,106574010,Sutter Davis Hospital,0,295,0,Average,38.56289,-121.77164
2019,Yuba,106580996,Adventist Health and Rideout,2,391,0.44,Average,39.138805,-121.593602
2020,STATEWIDE,n/a,n/a,1197,226512,0.53,n/a,n/a,n/a
2020,Alameda,106010735,Alameda Hospital,0,71,0,Average,37.76266,-122.253991
2020,Alameda,106010739,Alta Bates Summit Medical Center – Alta Bates Campus,3,521,0.9,Average,37.85645,-122.25743
2020,Alameda,106010846,Highland Hospital,0,373,0,Average,37.79925,-122.23138
2020,Alameda,106010937,Alta Bates Summit Medical Center,13,1079,1.1,Below Average,37.82106,-122.26257
2020,Alameda,106010967,Saint Rose Hospital,0,212,0,Average,37.63291,-122.08962
2020,Alameda,106010987,Washington Hospital – Fremont,2,1016,0.43,Average,37.55847,-121.98006
2020,Alameda,106014050,Stanford Health Care – ValleyCare,3,665,0.6,Average,37.69206,-121.88095
2020,Alameda,106014132,Kaiser Foundation Hospital – Fremont,1,285,0.3,Average,37.55055,-121.97483
2020,Alameda,106014233,Eden Medical Center,2,425,0.73,Average,37.6983769,-122.0874055
2020,Alameda,106014326,Kaiser Foundation Hospital – Oakland/Richmond,11,2589,0.23,Above Average,37.82402,-122.25791
2020,Alameda,106014337,Kaiser Foundation Hospital – San Leandro,3,504,0.45,Average,37.70611,-122.16917
2020,Amador,106034002,Sutter Amador Hospital,1,93,1.13,Average,38.34743,-120.77272
2020,Butte,106040937,Oroville Hospital,11,490,0.97,Average,39.50485,-121.5428
2020,Butte,106040962,Enloe Medical Center – Esplanade,4,1602,0.35,Average,39.74226,-121.84918
2020,Calaveras,106050932,Mark Twain Medical Center,0,40,0,Average,38.19057,-120.67095
2020,Contra Costa,106070924,Contra Costa Regional Medical Center,0,183,0,Average,38.00646,-122.13101
2020,Contra Costa,106070934,Sutter Delta Medical Center,2,81,2.27,Average,37.98222,-121.8054
2020,Contra Costa,106070988,John Muir Medical Center – Walnut Creek Campus,6,2066,0.39,Average,37.91304,-122.040781
2020,Contra Costa,106070990,Kaiser Foundation Hospital – Walnut Creek,5,341,0.59,Average,37.8923,-122.05828
2020,Contra Costa,106071018,John Muir Medical Center – Concord Campus,11,1395,0.73,Average,37.98615,-122.03874
2020,Contra Costa,106074017,San Ramon Regional Medical Center,1,476,0.3,Average,37.77549,-121.95884
2020,Contra Costa,106074097,Kaiser Foundation Hospital – Antioch,3,330,0.42,Average,37.951975,-121.776854
2020,Del Norte,106084001,Sutter Coast Hospital,0,76,0,Average,41.77278,-124.19514
2020,El Dorado,106090793,Barton Memorial Hospital,0,157,0,Average,38.91228,-119.99758
2020,El Dorado,106090933,Marshall Medical Center,0,283,0,Average,38.72556,-120.79092
2020,Fresno,106100005,Clovis Community Medical Center,1,622,0.2,Average,36.83745,-119.66072
2020,Fresno,106100717,Community Regional Medical Center – Fresno,23,3010,0.83,Average,36.74252,-119.784071
2020,Fresno,106100797,Adventist Health Reedley,0,13,0,Average,36.60789,-119.45145
2020,Fresno,106100899,Saint Agnes Medical Center,3,1781,0.19,Average,36.8370782,-119.7649963
2020,Fresno,106104047,Fresno Surgical Hospital,0,1524,0,Average,36.82531,-119.78155
2020,Fresno,106104062,Kaiser Foundation Hospital – Fresno,1,410,0.21,Average,36.84246,-119.7832
2020,Humboldt,106121002,Mad River Community Hospital,0,31,0,Average,40.90351,-124.09038
2020,Humboldt,106121051,Redwood Memorial Hospital,2,23,2.71,Average,40.58267,-124.13549
2020,Humboldt,106121080,Saint Joseph Hospital – Eureka,3,518,0.44,Average,40.7832,-124.14216
2020,Imperial,106130699,El Centro Regional Medical Center,1,65,1.68,Average,32.78138,-115.49824
2020,Imperial,106130760,Pioneers Memorial Healthcare District,0,74,0,Average,32.96003,-115.55183
2020,Inyo,106141273,Northern Inyo Hospital,0,55,0,Average,37.36207,-118.40756
2020,Kern,106150706,Adventist Health Delano,1,75,2.08,Average,35.76143,-119.23706
2020,Kern,106150722,Bakersfield Memorial Hospital,10,1298,1.22,Below Average,35.39051,-119.00658
2020,Kern,106150736,Kern Medical Center,3,408,1.28,Average,35.380833,-118.967222
2020,Kern,106150761,Mercy Hospital – Bakersfield,4,747,0.88,Average,35.37323,-119.02715
2020,Kern,106150782,Ridgecrest Regional Hospital,1,63,1.2,Average,35.6404,-117.66996
2020,Kern,106150788,Adventist Health Bakersfield,0,1057,0,Above Average,35.383064,-119.018775
2020,Kern,106154101,Bakersfield Heart Hospital,0,347,0,Average,35.38619,-119.04314
2020,Kings,106164029,Adventist Health Hanford,2,483,0.86,Average,36.3256247,-119.6683912
2020,Lake,106171049,Adventist Health Clearlake,0,11,0,Average,38.93619,-122.6202
2020,Lake,106171395,Sutter Lakeside Hospital,0,32,0,Average,39.10232,-122.91003
2020,Lassen,106184008,Banner Lassen Medical Center,0,5,0,Average,40.42306,-120.64609
2020,Los Angeles,106190017,Alhambra Hospital Medical Center,0,87,0,Average,34.08988,-118.1449
2020,Los Angeles,106190034,Antelope Valley Hospital,1,613,0.24,Average,34.6878,-118.157981
2020,Los Angeles,106190053,Saint Mary Medical Center – Long Beach,1,566,0.31,Average,33.7802376,-118.1866412
2020,Los Angeles,106190081,Beverly Hospital,2,392,0.76,Average,34.01614,-118.10132
2020,Los Angeles,106190110,Southern California Hospital at Culver City,0,526,0,Average,34.0231953,-118.3969429
2020,Los Angeles,106190125,California Hospital Medical Center – Los Angeles,0,363,0,Average,34.03721,-118.26551
2020,Los Angeles,106190137,Casa Colina Hospital,2,474,0.69,Average,34.096265,-117.745655
2020,Los Angeles,106190148,Centinela Hospital Medical Center,0,204,0,Average,33.94917,-118.34788
2020,Los Angeles,106190176,City of Hope Helford Clinical Research Hospital,16,1333,0.56,Average,34.13219,-117.97356
2020,Los Angeles,106190197,Community and Mission Hospital of Huntington Park – Slauson,0,9,0,Average,33.98929,-118.22466
2020,Los Angeles,106190198,Los Angeles Community Hospital,0,44,0,Average,34.01897,-118.1875
2020,Los Angeles,106190200,San Gabriel Valley Medical Center,2,430,1,Average,34.1024,-118.10503
2020,Los Angeles,106190240,Lakewood Regional Medical Center,1,235,0.39,Average,33.859731,-118.1492012
2020,Los Angeles,106190243,PIH Health Hospital – Downey,0,295,0,Average,33.93515,-118.13196
2020,Los Angeles,106190256,East Los Angeles Doctors Hospital,0,77,0,Average,34.02383,-118.18377
2020,Los Angeles,106190280,Encino Hospital Medical Center,0,7,0,Average,34.15686,-118.48662
2020,Los Angeles,106190298,Emanate Health Foothill Presbyterian Hospital,5,185,1.57,Average,34.13384,-117.87244
2020,Los Angeles,106190315,Garfield Medical Center,6,689,0.99,Average,34.06826,-118.12302
2020,Los Angeles,106190323,Adventist Health Glendale,4,1048,0.5,Average,34.14951,-118.23109
2020,Los Angeles,106190352,Greater El Monte Community Hospital,0,9,0,Average,34.04827,-118.04257
2020,Los Angeles,106190382,Hollywood Presbyterian Medical Center,7,775,0.69,Average,34.09557,-118.29163
2020,Los Angeles,106190385,Providence Holy Cross Medical Center,11,1392,0.58,Average,34.2791,-118.45951
2020,Los Angeles,106190392,Good Samaritan Hospital – Los Angeles,14,861,1.63,Below Average,34.05324,-118.26522
2020,Los Angeles,106190400,Huntington Memorial Hospital,14,2310,0.64,Average,34.13565,-118.1518
2020,Los Angeles,106190413,Emanate Health Inter - Community Hospital,3,524,0.65,Average,34.08993,-117.89264
2020,Los Angeles,106190422,Torrance Memorial Medical Center,15,2646,0.73,Average,33.8119157,-118.3434945
2020,Los Angeles,106190429,Kaiser Foundation Hospital – Sunset,26,3277,0.53,Average,34.09875,-118.295371
2020,Los Angeles,106190431,Kaiser Foundation Hospital – South Bay,3,933,0.3,Average,33.78926,-118.29373
2020,Los Angeles,106190432,Kaiser Foundation Hospital – Panorama City,2,715,0.28,Average,34.2198,-118.43103
2020,Los Angeles,106190434,Kaiser Foundation Hospital – West Los Angeles,8,981,0.63,Average,34.03793,-118.37568
2020,Los Angeles,106190470,Providence Little Company of Mary Medical Center – Torrance,8,1065,0.77,Average,33.83891,-118.356771
2020,Los Angeles,106190500,Cedars-Sinai Marina Del Rey Hospital,0,742,0,Average,33.98125,-118.43971
2020,Los Angeles,106190517,Providence Cedars-Sinai Tarzana Medical Center,2,875,0.25,Average,34.17067,-118.532001
2020,Los Angeles,106190521,Memorial Hospital of Gardena,0,75,0,Average,33.89246,-118.29493
2020,Los Angeles,106190522,Glendale Memorial Hospital and Medical Center,2,421,0.82,Average,34.1284,-118.25769
2020,Los Angeles,106190524,Mission Community Hospital – Panorama Campus,0,596,0,Average,34.22138,-118.45639
2020,Los Angeles,106190525,MemorialCare Long Beach Medical Center,13,2611,0.6,Average,33.80801,-118.1852
2020,Los Angeles,106190529,Methodist Hospital of Southern California,4,1192,0.44,Average,34.13603,-118.03879
2020,Los Angeles,106190547,Monterey Park Hospital,1,155,1.17,Average,34.05308,-118.13665
2020,Los Angeles,106190555,Cedars-Sinai Medical Center,77,6208,1.03,Below Average,34.07681,-118.38061
2020,Los Angeles,106190568,Northridge Hospital Medical Center,0,507,0,Average,34.22075,-118.53186
2020,Los Angeles,106190570,Norwalk Community Hospital,2,7,1.8,Average,33.91108,-118.0644
2020,Los Angeles,106190587,College Medical Center,0,5,0,Average,33.80759,-118.19355
2020,Los Angeles,106190630,Pomona Valley Hospital Medical Center,1,550,0.2,Average,34.07709,-117.750621
2020,Los Angeles,106190631,PIH Health Hospital - Whittier,4,947,0.62,Average,33.9697943,-118.049255
2020,Los Angeles,106190636,Emanate Health Queen of the Valley Hospital,3,879,0.64,Average,34.06242,-117.94528
2020,Los Angeles,106190673,San Dimas Community Hospital,0,58,0,Average,34.099076,-117.834328
2020,Los Angeles,106190680,Providence Little Company of Mary Medical Center – San Pedro,1,110,1.07,Average,33.737939,-118.303893
2020,Los Angeles,106190681,DOCS Surgical Hospital,0,434,0,Average,34.0572,-118.36195
2020,Los Angeles,106190687,Santa Monica – UCLA Medical Center and Orthopedic Hospital,14,1108,1.07,Below Average,34.027539,-118.486123
2020,Los Angeles,106190696,Pacifica Hospital of the Valley,0,48,0,Average,34.24088,-118.39555
2020,Los Angeles,106190708,Sherman Oaks Hospital,0,78,0,Average,34.15995,-118.4488
2020,Los Angeles,106190754,Saint Francis Medical Center,2,236,1.03,Average,33.93085,-118.20415
2020,Los Angeles,106190756,Providence Saint John’s Health Center,7,2036,0.44,Average,34.029804,-118.478668
2020,Los Angeles,106190758,Providence Saint Joseph Medical Center,2,1169,0.23,Average,34.15486,-118.32655
2020,Los Angeles,106190762,Saint Vincent Medical Center,0,18,0,Average,34.06311,-118.27302
2020,Los Angeles,106190766,Coast Plaza Hospital,0,28,0,Average,33.91255,-118.09915
2020,Los Angeles,106190796,Ronald Reagan UCLA Medical Center,38,3699,0.67,Average,34.068889,-118.445
2020,Los Angeles,106190812,Valley Presbyterian Hospital,4,751,1.33,Average,34.19396,-118.4632
2020,Los Angeles,106190818,University of Southern California Verdugo Hills Hospital,0,355,0,Average,34.20557,-118.2152
2020,Los Angeles,106190857,West Covina Medical Center,0,53,0,Average,34.07042,-117.94505
2020,Los Angeles,106190859,West Hills Hospital and Medical Center,1,315,0.42,Average,34.20337,-118.62939
2020,Los Angeles,106190878,Adventist Health White Memorial,0,1145,0,Average,34.05085,-118.21691
2020,Los Angeles,106190883,Whittier Hospital Medical Center,0,107,0,Average,33.95379,-118.00303
2020,Los Angeles,106190949,Henry Mayo Newhall Hospital,1,336,0.39,Average,34.39545,-118.55476
2020,Los Angeles,106191227,Los Angeles County/Harbor – UCLA Medical Center,1,971,0.12,Average,33.83155,-118.29353
2020,Los Angeles,106191228,Los Angeles County/University of Southern California Medical Center,17,1625,1.04,Below Average,34.05982,-118.21031
2020,Los Angeles,106191231,Los Angeles County/Olive View – UCLA Medical Center,2,625,0.35,Average,34.32418,-118.45255
2020,Los Angeles,106191306,Los Angeles County/Rancho Los Amigos National Rehabilitation Center,1,287,0.68,Average,33.92723,-118.15795
2020,Los Angeles,106191450,Kaiser Foundation Hospital – Woodland Hills,3,350,0.46,Average,34.17198,-118.58829
2020,Los Angeles,106194219,Keck Hospital of University of Southern California,19,3914,0.26,Above Average,34.06284,-118.20287
2020,Los Angeles,106196035,Kaiser Foundation Hospital – Baldwin Park,5,509,0.63,Average,34.06348,-117.986
2020,Los Angeles,106196403,Kaiser Foundation Hospital – Downey,9,804,0.71,Average,33.9171234,-118.1290216
2020,Los Angeles,106196405,Palmdale Regional Medical Center,0,595,0,Average,34.5843754,-118.1443461
2020,Madera,106201281,Madera Community Hospital,2,99,1.87,Average,36.94538,-120.0447
2020,Marin,106210992,Kaiser Foundation Hospital – San Rafael,2,170,0.49,Average,38.0041,-122.55376
2020,Marin,106211006,MarinHealth Medical Center,4,630,0.9,Average,37.94651,-122.53715
2020,Marin,106214034,Novato Community Hospital,1,448,0.91,Average,38.09827,-122.55974
2020,Mendocino,106231396,Adventist Health Ukiah Valley,0,152,0,Average,39.15216,-123.202741
2020,Mendocino,106234038,Adventist Health Howard Memorial,1,356,0.79,Average,39.39927,-123.35486
2020,Merced,106240924,Memorial Hospital Los Banos,0,16,0,Average,37.06273,-120.86147
2020,Merced,106240942,Mercy Medical Center – Merced,1,464,0.39,Average,37.3402309,-120.4651815
2020,Mono,106260011,Mammoth Hospital,0,152,0,Average,37.64524,-118.96408
2020,Monterey,106270744,Community Hospital of The Monterey Peninsula,7,1379,0.58,Average,36.59827,-121.92488
2020,Monterey,106270875,Salinas Valley Memorial Hospital,1,500,0.23,Average,36.65909,-121.646291
2020,Monterey,106274043,Natividad Medical Center,0,128,0,Average,36.69686,-121.6297
2020,Napa,106281047,Queen of the Valley Medical Center,1,226,0.65,Average,38.32363,-122.296
2020,Napa,106281078,Adventist Health Saint Helena,1,482,0.27,Average,38.53937349,-122.473003
2020,Nevada,106291023,Sierra Nevada Memorial Hospital,1,91,1.48,Average,39.22808,-121.047201
2020,Nevada,106291053,Tahoe Forest Hospital,0,98,0,Average,39.324536,-120.201516
2020,Orange,106300225,MemorialCare Orange Coast Medical Center,7,1273,0.68,Average,33.70162,-117.95524
2020,Orange,106301098,AHMC Anaheim Regional Medical Center,1,318,0.32,Average,33.84725,-117.93248
2020,Orange,106301140,Chapman Global Medical Center,1,486,0.69,Average,33.78785,-117.82586
2020,Orange,106301175,Fountain Valley Regional Hospital and Medical Center – Euclid,11,994,1.31,Below Average,33.71546,-117.93694
2020,Orange,106301188,Anaheim Global Medical Center,2,99,2.66,Average,33.8209,-117.90921
2020,Orange,106301205,Hoag Memorial Hospital Presbyterian,15,2196,0.44,Average,33.62526,-117.92949
2020,Orange,106301209,Huntington Beach Hospital,1,5,4.63,Average,33.70442,-117.98895
2020,Orange,106301234,La Palma Intercommunity Hospital,0,7,0,Average,33.84755,-118.0373
2020,Orange,106301248,Los Alamitos Medical Center,2,454,0.55,Average,33.80327,-118.0674
2020,Orange,106301258,South Coast Global Medical Center,0,128,0,Average,33.71112,-117.88539
2020,Orange,106301262,Providence Mission Hospital,15,1108,1.2,Below Average,33.56279,-117.66768
2020,Orange,106301279,UC Irvine Medical Center,21,2754,0.47,Average,33.7879885,-117.8901339
2020,Orange,106301283,Garden Grove Hospital and Medical Center,0,13,0,Average,33.7745089,-117.9130315
2020,Orange,106301297,Placentia Linda Hospital,1,237,0.82,Average,33.887072,-117.8434267
2020,Orange,106301317,MemorialCare Saddleback Medical Center,3,1028,0.29,Average,33.60802,-117.70825
2020,Orange,106301337,Providence Mission Hospital - Laguna Beach,0,186,0,Average,33.4997391,-117.7422502
2020,Orange,106301340,Providence St. Joseph Hospital,7,2000,0.4,Average,33.7823,-117.86516
2020,Orange,106301342,Providence St. Jude Medical Center,5,909,0.49,Average,33.89349,-117.92851
2020,Orange,106301357,Foothill Regional Medical Center,0,393,0,Average,33.73119,-117.82903
2020,Orange,106301379,West Anaheim Medical Center,0,29,0,Average,33.82482,-117.99492
2020,Orange,106301566,Orange County Global Medical Center,1,192,0.69,Average,33.75361,-117.83398
2020,Orange,106304409,Kaiser Foundation Hospital – Orange County – Anaheim,17,1705,0.85,Average,33.85442,-117.84399
2020,Orange,106304460,Hoag Orthopedic Institute,2,2307,0.31,Average,33.6617789,-117.7735916
2020,Placer,106310791,Sutter Auburn Faith Hospital,2,671,0.68,Average,38.94432,-121.09943
2020,Placer,106311000,Sutter Roseville Medical Center,4,1770,0.35,Average,38.76515,-121.24922
2020,Placer,106314024,Kaiser Foundation Hospital – Roseville,3,526,0.24,Average,38.74636,-121.25107
2020,Plumas,106320986,Plumas District Hospital,0,4,0,Average,39.93921,-120.96214
2020,Riverside,106331152,Corona Regional Medical Center – Main,0,462,0,Average,33.8733354,-117.5668015
2020,Riverside,106331164,Desert Regional Medical Center,3,500,1.02,Average,33.83932,-116.54549
2020,Riverside,106331168,Eisenhower Medical Center,7,3026,0.32,Average,33.76418,-116.40808
2020,Riverside,106331194,Hemet Global Medical Center,4,278,1.56,Average,33.75113,-116.95958
2020,Riverside,106331216,John F. Kennedy Memorial Hospital,0,218,0,Average,33.70677,-116.23391
2020,Riverside,106331288,Palo Verde Hospital,0,4,0,Average,33.61315,-114.5956
2020,Riverside,106331293,Doctors Hospital Of Riverside,1,634,0.63,Average,33.92573,-117.43996
2020,Riverside,106331312,Riverside Community Hospital,11,1360,0.74,Average,33.97641,-117.37997
2020,Riverside,106331326,San Gorgonio Memorial Hospital,0,27,0,Average,33.9317494,-116.9459031
2020,Riverside,106334018,Menifee Global Medical Center,0,241,0,Average,33.72146,-117.15691
2020,Riverside,106334025,Kaiser Foundation Hospital – Riverside,0,402,0,Above Average,33.9063,-117.47082
2020,Riverside,106334048,Kaiser Foundation Hospital – Moreno Valley,0,54,0,Average,33.89553,-117.18677
2020,Riverside,106334068,Southwest Healthcare System – Murrieta,2,1445,0.3,Average,33.55788,-117.18488
2020,Riverside,106334487,Riverside University Health System – Medical Center,3,708,0.58,Average,33.91187,-117.19525
2020,Riverside,106334564,Temecula Valley Hospital,3,531,0.75,Average,33.4795943,-117.1048018
2020,Riverside,106334589,Loma Linda University Medical Center – Murrieta,1,585,0.24,Average,33.6122263,-117.1624483
2020,Sacramento,106340913,Kaiser Foundation Hospital – Sacramento,4,1799,0.16,Above Average,38.60197,-121.39232
2020,Sacramento,106340947,Mercy General Hospital,2,1982,0.12,Above Average,38.56955,-121.45271
2020,Sacramento,106340950,Mercy San Juan Medical Center,4,1226,0.38,Average,38.66818,-121.31261
2020,Sacramento,106340951,Methodist Hospital of Sacramento,2,572,1.17,Average,38.46416,-121.41744
2020,Sacramento,106341006,UC Davis Medical Center,34,2700,0.97,Below Average,38.55438,-121.45738
2020,Sacramento,106341051,"Sutter Medical Center, Sacramento",17,3321,0.57,Average,38.57045,-121.47028
2020,Sacramento,106342344,Kaiser Foundation Hospital – South Sacramento,3,1200,0.14,Above Average,38.47144,-121.42409
2020,Sacramento,106344029,Mercy Hospital of Folsom,1,442,0.43,Average,38.67223,-121.1428
2020,San Benito,106350784,Hazel Hawkins Memorial Hospital,0,47,0,Average,36.835,-121.38609
2020,San Bernardino,106361144,Chino Valley Medical Center,0,4,0,Average,34.02626,-117.687
2020,San Bernardino,106361166,Montclair Hospital Medical Center,0,9,0,Average,34.07774,-117.69603
2020,San Bernardino,106361223,Kaiser Foundation Hospital – Fontana,10,2035,0.46,Average,34.0725,-117.43549
2020,San Bernardino,106361246,Loma Linda University Medical Center,8,3346,0.2,Above Average,34.05164,-117.26146
2020,San Bernardino,106361308,Redlands Community Hospital,2,1357,0.35,Average,34.03699,-117.2044
2020,San Bernardino,106361318,San Antonio Regional Hospital,4,1030,0.49,Average,34.10056,-117.63828
2020,San Bernardino,106361323,Community Hospital of San Bernardino,0,102,0,Average,34.13138,-117.32245
2020,San Bernardino,106361339,Saint Bernardine Medical Center,5,1555,0.4,Average,34.1341,-117.27865
2020,San Bernardino,106361343,Saint Mary Medical Center – Apple Valley,6,523,1.62,Below Average,34.54053,-117.26535
2020,San Bernardino,106362041,Hi-Desert Medical Center,0,13,0,Average,34.13323,-116.27654
2020,San Bernardino,106364231,Arrowhead Regional Medical Center,5,480,1.35,Average,34.07163215,-117.3527761
2020,San Bernardino,106364430,Barstow Community Hospital,0,18,0,Average,34.8935263,-117.0168841
2020,San Diego,106370652,Alvarado Hospital,1,478,0.31,Average,32.7766415,-117.0573188
2020,San Diego,106370689,Sharp Coronado Hospital and Healthcare Center,0,338,0,Average,32.69427,-117.16808
2020,San Diego,106370694,Sharp Memorial Hospital,10,2503,0.35,Average,32.80016,-117.15531
2020,San Diego,106370714,Grossmont Hospital,5,1101,0.54,Average,32.77963,-117.00924
2020,San Diego,106370730,Kaiser Foundation Hospital – San Diego – Zion,20,1981,0.76,Average,32.79287,-117.09447
2020,San Diego,106370744,Scripps Mercy Hospital,15,2172,1.05,Below Average,32.75128,-117.1609
2020,San Diego,106370755,Palomar Health Downtown Campus,3,1032,0.39,Average,33.12586,-117.07628
2020,San Diego,106370759,Paradise Valley Hospital,0,80,0,Average,32.6863293,-117.0830382
2020,San Diego,106370771,Scripps Memorial Hospital – La Jolla,9,2769,0.37,Average,32.88506,-117.22279
2020,San Diego,106370780,Tri-City Medical Center – Oceanside,3,542,0.71,Average,33.18394,-117.29027
2020,San Diego,106370782,UC San Diego Health System – Hillcrest Medical Center,31,4950,0.47,Average,32.75387,-117.16498
2020,San Diego,106370875,Sharp Chula Vista Medical Center,3,452,0.56,Average,32.61909,-117.02488
2020,San Diego,106370977,Palomar Medical Center Poway,1,247,0.58,Average,32.99563,-117.05784
2020,San Diego,106371256,Scripps Green Hospital,5,2567,0.27,Average,32.89654,-117.2419
2020,San Diego,106371394,Scripps Memorial Hospital – Encinitas,2,780,0.39,Average,33.0363,-117.28495
2020,San Francisco,106380857,Kaiser Foundation Hospital – San Francisco,14,1765,0.46,Average,37.78274,-122.44289
2020,San Francisco,106380933,California Pacific Medical Center – Davies Campus Hospital,2,526,0.54,Average,37.7691,-122.43465
2020,San Francisco,106380939,Priscilla Chan & Mark Zuckerberg San Francisco General Hospital & Trauma Center,1,521,0.2,Average,37.75657,-122.40637
2020,San Francisco,106380960,Saint Francis Memorial Hospital,0,483,0,Average,37.78917,-122.41695
2020,San Francisco,106380965,St. Mary'S Medical Center,4,494,1.13,Average,37.77408,-122.45441
2020,San Francisco,106381154,UC San Francisco Medical Center,41,6994,0.53,Average,37.7635148,-122.4576564
2020,San Francisco,106382715,Chinese Hospital,0,77,0,Average,37.79565,-122.40926
2020,San Francisco,106384176,California Pacific Medical Center – Van Ness Campus,13,1333,0.58,Average,37.78584,-122.42175
2020,San Francisco,106384202,California Pacific Medical Center – Mission Bernal Campus,1,721,0.44,Average,37.74804,-122.42094
2020,San Joaquin,106390846,Dameron Hospital,0,291,0,Average,37.96125,-121.30067
2020,San Joaquin,106390923,Adventist Health Lodi Memorial,1,140,0.69,Average,38.12146,-121.2859
2020,San Joaquin,106391010,San Joaquin General Hospital,2,379,0.65,Average,37.88594,-121.28918
2020,San Joaquin,106391042,Saint Joseph’s Medical Center of Stockton,11,787,1.35,Below Average,37.97075,-121.2891
2020,San Joaquin,106391056,Sutter Tracy Community Hospital,0,115,0,Average,37.74366,-121.43482
2020,San Joaquin,106392287,Doctors Hospital of Manteca,0,237,0,Average,37.80111,-121.19746
2020,San Joaquin,106394009,Kaiser Foundation Hospital – Manteca,1,388,0.13,Average,37.79736,-121.24614
2020,San Luis Obispo,106400466,Marian Regional Medical Center – Arroyo Grande,0,233,0,Average,35.11369,-120.59147
2020,San Luis Obispo,106400480,French Hospital Medical Center,0,620,0,Average,35.27801,-120.64977
2020,San Luis Obispo,106400524,Sierra Vista Regional Medical Center,2,292,1.14,Average,35.290986,-120.666309
2020,San Luis Obispo,106400548,Tenet Health Central Coast Twin Cities Community Hospital,0,218,0,Average,35.5543,-120.71967
2020,San Mateo,106410782,San Mateo Medical Center,0,56,0,Average,37.53017,-122.29951
2020,San Mateo,106410806,Kaiser Foundation Hospital – South San Francisco,1,403,0.14,Average,37.65806,-122.43837
2020,San Mateo,106410817,Seton Medical Center,0,135,0,Average,37.68172,-122.47283
2020,San Mateo,106410852,Peninsula Medical Center,7,1279,0.56,Average,37.5944692,-122.3832465
2020,San Mateo,106410891,Sequoia Hospital,3,1074,0.49,Average,37.48129,-122.25377
2020,San Mateo,106414018,Menlo Park Surgical Hospital,0,137,0,Average,37.45797,-122.16212
2020,San Mateo,106414139,Kaiser Foundation Hospital – Redwood City,1,1061,0.09,Above Average,37.48967,-122.22463
2020,Santa Barbara,106420483,Goleta Valley Cottage Hospital,0,969,0,Average,34.43336,-119.80929
2020,Santa Barbara,106420491,Lompoc Valley Medical Center,0,129,0,Average,34.639252,-120.4396497
2020,Santa Barbara,106420493,Marian Regional Medical Center,0,956,0,Average,34.95198,-120.41338
2020,Santa Barbara,106420514,Santa Barbara Cottage Hospital,8,1852,0.48,Average,34.42948,-119.72317
2020,Santa Clara,106430705,Regional Medical Center Of San Jose,3,236,1.1,Average,37.36332,-121.84837
2020,Santa Clara,106430763,El Camino Health,2,1960,0.12,Above Average,37.36779,-122.07801
