Year,County,OSHPDID,Surgery,# of Cases,LONGITUDE,LATITUDE,hospital
2019,Los Angeles,106190470,Breast,206,-118.356771,33.83891,Providence Little Company of Mary Medical Center – T
2013,Los Angeles,106190475,Rectum,1,-118.14578,33.78871,Community Hospital Long Beach
2013,Los Angeles,106190475,Colon,2,-118.14578,33.78871,Community Hospital Long Beach
2016,Los Angeles,106190475,Stomach,1,-118.14578,33.78871,Community Hospital Long Beach
2016,Los Angeles,106190475,Prostate,1,-118.14578,33.78871,Community Hospital Long Beach
2016,Los Angeles,106190475,Pancreas,1,-118.14578,33.78871,Community Hospital Long Beach
2016,Los Angeles,106190475,Colon,3,-118.14578,33.78871,Community Hospital Long Beach
2014,Los Angeles,106190475,Colon,1,-118.14578,33.78871,Community Hospital Long Beach
2014,Los Angeles,106190475,Breast,1,-118.14578,33.78871,Community Hospital Long Beach
2017,Los Angeles,106190475,Breast,1,-118.14578,33.78871,Community Hospital Long Beach
2015,Los Angeles,106190475,Breast,2,-118.14578,33.78871,Community Hospital Long Beach
2015,Los Angeles,106190475,Colon,3,-118.14578,33.78871,Community Hospital Long Beach
2017,Los Angeles,106190475,Rectum,1,-118.14578,33.78871,Community Hospital Long Beach
2017,Los Angeles,106190475,Liver,1,-118.14578,33.78871,Community Hospital Long Beach
2013,Los Angeles,106190475,Stomach,1,-118.14578,33.78871,Community Hospital Long Beach
2017,Los Angeles,106190475,Colon,2,-118.14578,33.78871,Community Hospital Long Beach
2018,Los Angeles,106190500,Colon,8,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2021,Los Angeles,106190500,Prostate,2,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2021,Los Angeles,106190500,Breast,17,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2021,Los Angeles,106190500,Colon,18,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2013,Los Angeles,106190500,Prostate,6,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2017,Los Angeles,106190500,Rectum,2,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2020,Los Angeles,106190500,Colon,5,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2019,Los Angeles,106190500,Breast,19,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2020,Los Angeles,106190500,Breast,10,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2016,Los Angeles,106190500,Colon,6,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2016,Los Angeles,106190500,Liver,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2013,Los Angeles,106190500,Lung,2,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2021,Los Angeles,106190500,Rectum,5,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2013,Los Angeles,106190500,Colon,10,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2016,Los Angeles,106190500,Lung,3,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2020,Los Angeles,106190500,Rectum,3,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2018,Los Angeles,106190500,Rectum,8,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2018,Los Angeles,106190500,Liver,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2018,Los Angeles,106190500,Lung,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2018,Los Angeles,106190500,Breast,13,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2013,Los Angeles,106190500,Rectum,2,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2016,Los Angeles,106190500,Breast,21,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2015,Los Angeles,106190500,Stomach,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2018,Los Angeles,106190500,Stomach,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2014,Los Angeles,106190500,Breast,32,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2014,Los Angeles,106190500,Colon,12,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2014,Los Angeles,106190500,Lung,6,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2014,Los Angeles,106190500,Prostate,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2014,Los Angeles,106190500,Rectum,5,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2014,Los Angeles,106190500,Stomach,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2017,Los Angeles,106190500,Breast,21,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2019,Los Angeles,106190500,Colon,11,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2021,Los Angeles,106190500,Stomach,2,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2017,Los Angeles,106190500,Lung,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2015,Los Angeles,106190500,Breast,20,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2015,Los Angeles,106190500,Colon,11,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2015,Los Angeles,106190500,Lung,2,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2015,Los Angeles,106190500,Prostate,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2015,Los Angeles,106190500,Rectum,2,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2013,Los Angeles,106190500,Breast,44,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2019,Los Angeles,106190500,Rectum,1,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2017,Los Angeles,106190500,Colon,5,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2016,Los Angeles,106190500,Rectum,3,-118.43971,33.98125,Cedars – Sinai Marina Hospital
2018,Los Angeles,106190517,Breast,140,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Pancreas,2,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Rectum,24,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Stomach,2,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Prostate,19,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Liver,4,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Bladder,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Esophagus,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Lung,12,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Rectum,21,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Prostate,42,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Stomach,5,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Prostate,28,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Prostate,36,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Bladder,2,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Lung,6,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Colon,47,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Rectum,19,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Breast,111,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Breast,143,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Stomach,1,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Colon,41,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Rectum,12,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Brain,4,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Pancreas,2,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Bladder,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Brain,3,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Stomach,1,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Liver,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Rectum,26,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Rectum,26,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Pancreas,2,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Rectum,13,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Colon,31,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Brain,1,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Colon,40,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Breast,123,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Bladder,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Liver,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Brain,4,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Bladder,4,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Prostate,37,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Colon,43,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Bladder,3,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Lung,8,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Rectum,13,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Breast,186,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Prostate,30,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Pancreas,2,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Liver,4,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Liver,2,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Pancreas,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Liver,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Colon,31,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Stomach,3,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Bladder,2,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Brain,3,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Breast,105,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Lung,4,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Prostate,2,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2014,Los Angeles,106190517,Rectum,12,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Lung,5,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Colon,31,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Colon,32,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Brain,5,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2016,Los Angeles,106190517,Stomach,3,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Stomach,3,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Lung,5,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Prostate,20,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Breast,105,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2015,Los Angeles,106190517,Colon,23,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Stomach,5,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190517,Breast,122,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Lung,9,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2020,Los Angeles,106190517,Lung,2,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Pancreas,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2017,Los Angeles,106190517,Breast,138,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2019,Los Angeles,106190517,Bladder,3,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2018,Los Angeles,106190517,Lung,7,-118.532001,34.17067,Providence Cedars – Sinai Tarzana Medical Center
2013,Los Angeles,106190517,Brain,1,-118.53136,34.16985,Providence Cedars – Sinai Tarzana Medical Center
2021,Los Angeles,106190521,Stomach,2,-118.29493,33.89246,Memorial Hospital of Gardena
2017,Los Angeles,106190521,Colon,8,-118.29493,33.89246,Memorial Hospital of Gardena
2021,Los Angeles,106190521,Breast,8,-118.29493,33.89246,Memorial Hospital of Gardena
2020,Los Angeles,106190521,Stomach,1,-118.29493,33.89246,Memorial Hospital of Gardena
2021,Los Angeles,106190521,Colon,5,-118.29493,33.89246,Memorial Hospital of Gardena
2020,Los Angeles,106190521,Lung,1,-118.29493,33.89246,Memorial Hospital of Gardena
2021,Los Angeles,106190521,Rectum,1,-118.29493,33.89246,Memorial Hospital of Gardena
2019,Los Angeles,106190521,Colon,3,-118.29493,33.89246,Memorial Hospital of Gardena
2019,Los Angeles,106190521,Stomach,1,-118.29493,33.89246,Memorial Hospital of Gardena
2019,Los Angeles,106190521,Prostate,1,-118.29493,33.89246,Memorial Hospital of Gardena
2016,Los Angeles,106190521,Colon,6,-118.29493,33.89246,Memorial Hospital of Gardena
2016,Los Angeles,106190521,Prostate,1,-118.29493,33.89246,Memorial Hospital of Gardena
2016,Los Angeles,106190521,Rectum,3,-118.29493,33.89246,Memorial Hospital of Gardena
2016,Los Angeles,106190521,Breast,16,-118.29493,33.89246,Memorial Hospital of Gardena
2018,Los Angeles,106190521,Breast,8,-118.29493,33.89246,Memorial Hospital of Gardena
2018,Los Angeles,106190521,Colon,7,-118.29493,33.89246,Memorial Hospital of Gardena
2020,Los Angeles,106190521,Colon,8,-118.29493,33.89246,Memorial Hospital of Gardena
2018,Los Angeles,106190521,Liver,1,-118.29493,33.89246,Memorial Hospital of Gardena
2018,Los Angeles,106190521,Rectum,1,-118.29493,33.89246,Memorial Hospital of Gardena
2014,Los Angeles,106190521,Breast,6,-118.29493,33.89246,Memorial Hospital of Gardena
2014,Los Angeles,106190521,Colon,6,-118.29493,33.89246,Memorial Hospital of Gardena
2014,Los Angeles,106190521,Rectum,1,-118.29493,33.89246,Memorial Hospital of Gardena
2014,Los Angeles,106190521,Lung,1,-118.29493,33.89246,Memorial Hospital of Gardena
2019,Los Angeles,106190521,Breast,6,-118.29493,33.89246,Memorial Hospital of Gardena
2016,Los Angeles,106190521,Stomach,1,-118.29493,33.89246,Memorial Hospital of Gardena
2015,Los Angeles,106190521,Breast,7,-118.29493,33.89246,Memorial Hospital of Gardena
2015,Los Angeles,106190521,Rectum,1,-118.29493,33.89246,Memorial Hospital of Gardena
2015,Los Angeles,106190521,Colon,5,-118.29493,33.89246,Memorial Hospital of Gardena
2013,Los Angeles,106190521,Breast,6,-118.29493,33.89246,Memorial Hospital of Gardena
2013,Los Angeles,106190521,Colon,5,-118.29493,33.89246,Memorial Hospital of Gardena
2013,Los Angeles,106190521,Lung,1,-118.29493,33.89246,Memorial Hospital of Gardena
2017,Los Angeles,106190521,Breast,9,-118.29493,33.89246,Memorial Hospital of Gardena
2017,Los Angeles,106190521,Bladder,1,-118.29493,33.89246,Memorial Hospital of Gardena
2020,Los Angeles,106190521,Breast,6,-118.29493,33.89246,Memorial Hospital of Gardena
2020,Los Angeles,106190521,Pancreas,1,-118.29493,33.89246,Memorial Hospital of Gardena
2021,Los Angeles,106190522,Prostate,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2021,Los Angeles,106190522,Rectum,19,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2021,Los Angeles,106190522,Brain,2,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2020,Los Angeles,106190522,Prostate,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2020,Los Angeles,106190522,Brain,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Prostate,4,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2020,Los Angeles,106190522,Colon,21,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2021,Los Angeles,106190522,Liver,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2020,Los Angeles,106190522,Liver,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2020,Los Angeles,106190522,Rectum,14,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2020,Los Angeles,106190522,Breast,30,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2021,Los Angeles,106190522,Colon,25,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2021,Los Angeles,106190522,Lung,9,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2020,Los Angeles,106190522,Lung,13,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2021,Los Angeles,106190522,Breast,16,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Rectum,16,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2019,Los Angeles,106190522,Colon,31,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Stomach,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Rectum,18,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2019,Los Angeles,106190522,Lung,10,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2019,Los Angeles,106190522,Liver,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2019,Los Angeles,106190522,Breast,36,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2019,Los Angeles,106190522,Rectum,17,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2019,Los Angeles,106190522,Stomach,2,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Stomach,6,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Prostate,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Lung,17,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Liver,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Colon,43,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Breast,32,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Brain,2,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2016,Los Angeles,106190522,Bladder,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Lung,21,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2018,Los Angeles,106190522,Colon,32,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2018,Los Angeles,106190522,Lung,12,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2013,Los Angeles,106190522,Prostate,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2018,Los Angeles,106190522,Breast,24,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2018,Los Angeles,106190522,Liver,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2018,Los Angeles,106190522,Prostate,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2018,Los Angeles,106190522,Rectum,29,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2014,Los Angeles,106190522,Lung,18,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2014,Los Angeles,106190522,Colon,38,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2014,Los Angeles,106190522,Stomach,5,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2014,Los Angeles,106190522,Breast,39,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2014,Los Angeles,106190522,Brain,2,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2014,Los Angeles,106190522,Rectum,26,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2018,Los Angeles,106190522,Bladder,2,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Brain,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2019,Los Angeles,106190522,Brain,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2013,Los Angeles,106190522,Brain,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2013,Los Angeles,106190522,Colon,31,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2013,Los Angeles,106190522,Breast,59,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2013,Los Angeles,106190522,Lung,13,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2013,Los Angeles,106190522,Rectum,21,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2015,Los Angeles,106190522,Bladder,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2015,Los Angeles,106190522,Brain,2,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2015,Los Angeles,106190522,Colon,28,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2015,Los Angeles,106190522,Lung,8,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2015,Los Angeles,106190522,Prostate,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2015,Los Angeles,106190522,Rectum,15,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2015,Los Angeles,106190522,Breast,19,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2013,Los Angeles,106190522,Stomach,3,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Breast,35,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Colon,28,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2017,Los Angeles,106190522,Bladder,1,-118.25769,34.1284,Glendale Memorial Hospital and Health Center
2021,Los Angeles,106190524,Rectum,3,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2021,Los Angeles,106190524,Breast,6,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2021,Los Angeles,106190524,Liver,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2021,Los Angeles,106190524,Brain,3,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2020,Los Angeles,106190524,Colon,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2020,Los Angeles,106190524,Breast,3,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2020,Los Angeles,106190524,Rectum,5,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2021,Los Angeles,106190524,Colon,3,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2019,Los Angeles,106190524,Prostate,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2019,Los Angeles,106190524,Colon,11,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2019,Los Angeles,106190524,Breast,3,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2019,Los Angeles,106190524,Stomach,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2019,Los Angeles,106190524,Brain,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2016,Los Angeles,106190524,Breast,19,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2017,Los Angeles,106190524,Colon,5,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2017,Los Angeles,106190524,Prostate,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2018,Los Angeles,106190524,Liver,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2018,Los Angeles,106190524,Rectum,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2014,Los Angeles,106190524,Bladder,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2014,Los Angeles,106190524,Colon,6,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2014,Los Angeles,106190524,Lung,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2014,Los Angeles,106190524,Prostate,18,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2014,Los Angeles,106190524,Stomach,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2014,Los Angeles,106190524,Breast,5,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2018,Los Angeles,106190524,Breast,4,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2018,Los Angeles,106190524,Stomach,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2018,Los Angeles,106190524,Prostate,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2018,Los Angeles,106190524,Colon,5,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2013,Los Angeles,106190524,Breast,6,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2013,Los Angeles,106190524,Prostate,25,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2013,Los Angeles,106190524,Colon,5,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2013,Los Angeles,106190524,Bladder,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2015,Los Angeles,106190524,Brain,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2015,Los Angeles,106190524,Breast,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2015,Los Angeles,106190524,Colon,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2017,Los Angeles,106190524,Breast,18,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2016,Los Angeles,106190524,Rectum,1,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2016,Los Angeles,106190524,Colon,4,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2016,Los Angeles,106190524,Prostate,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
2019,Los Angeles,106190524,Rectum,2,-118.45639,34.22138,Mission Community Hospital – Panorama Campus
